year,clean_footprint,Renewable_energy_consumption_perc_of_total_final_energy_consumption,Renewable_internal_freshwater_resources_per_capita_in_cubic_meters,Current_account_balance_BoP_current_US_dol,Current_account_balance_perc_of_GDP,Exports_of_goods_and_services_perc_of_GDP,Foreign_direct_investment_net_inflows_perc_of_GDP,GDP_growth_annual_perc,GDP_PPP_current_international_dol,GNI_per_capita_PPP_current_international_dol,GNI_PPP_current_international_dol,Unemployment_total_perc_of_total_labor_force_national_estimate,corruption_perceptions_index,building_permits_annual,existing_lifts,new_lifts,Population_ages_65_and_above_perc_of_total_population,civil_liberties,Government_Effectiveness_Estimate,Political_Stability_And_Absence_Of_Violence_Terrorism_Estimate,political_rights,Regulatory_Quality_Estimate,Voice_And_Accountability_Estimate,GINI_index_World_Bank_estimate,Human_development_index,Primary_education_pupils,School_enrollment_primary_perc_gross,School_enrollment_secondary_perc_gross,School_enrollment_tertiary_perc_gross,Secondary_education_pupils,Research_and_development_expenditure_perc_of_GDP
2005-01-01,6.60077823288976,2.462870217,18.510169965048497,1978.4719744322408,-8540555216.85637,-8.674771984482572,24.5352206061523,4.66814805084867,9602.12619877652,9320.0,198699781185.12,7.17439985275269,30.0,57.599998474121094,117437.20687691486,0.0,15.2293023426726,2.0,-0.3068253,0.0845609,2.0,0.2342906,0.4089088,39.91881821394821,0.755,970295.0,109.73966,82.47559,46.38265,2089646.0,0.40747
2006-01-01,9.02011511487348,2.3534997680000003,17.4105082489028,2005.1918834663186,-12909857013.7492,-10.5798556644224,24.7712264990404,8.02881107599163,11544.6827257528,11160.0,236508609925.97894,7.269499778747559,30.999999046325684,90.8000030517578,73108.22212274355,0.0,15.4293677141776,2.0,-0.21018320000000004,0.1478715,2.0,0.4625684000000001,0.5179734,39.6,0.7659999999999999,938095.0,105.84921,83.8186,52.47506,2013016.0,0.45123
2007-01-01,5.78690882845609,1.912871013,18.1794263238613,2029.4036550910198,-23924307026.9341,-13.703513609698101,24.710829049515,7.23380774362805,13686.8309720262,13240.0,276574212275.463,6.413099765777591,37.00000047683716,169.60000610351562,43911.34305756675,0.0,15.512644675770499,2.0,-0.3190752,0.19837910000000006,2.0,0.507854,0.4989977,37.5,0.78,917829.0,104.44129,87.30476,58.27953,1954077.0,0.50756
2008-01-01,6.377487195169362,2.430026197,20.3889961714965,2051.1072893063442,-24986071300.6904,-11.6586478523809,26.1553446185183,9.30746717077338,16782.232098128,16360.0,336011491107.522,5.787499904632571,37.99999952316284,198.3999938964844,29847.0,0.0,15.5297311982798,2.0,-0.3241724,0.1799604,2.0,0.5807095999999999,0.5141511999999999,36.4,0.795,865175.0,99.51621,92.8913,65.79338,1934151.0,0.55398
2009-01-01,2.66374866700264,2.3220192930000003,22.1822696766077,2070.351931296667,-8234134436.181721,-4.72944264174738,26.0236122287219,-5.51739440805439,16635.2297984454,16380.0,333674337444.989,6.85890007019043,37.99999952316284,99.8000030517578,30936.0,1749.0,15.564286271856599,2.0,-0.3597497,0.3602153,2.0,0.6027623000000001,0.4642873,35.6,0.7979999999999999,855707.0,99.84015,95.29491,68.59246,1861830.0,0.44779
2010-01-01,1.93336391578931,2.483247153,24.0957070447707,2087.0324190838974,-8478450856.71902,-5.10058154188616,32.398669561777,-3.9012362801862,16966.460609266,16710.0,338277804966.1,6.959199905395511,37.00000047683716,100.0,43000.0,1224.0,15.6672201417516,2.0,-0.2655292,0.2736004,2.0,0.6428855,0.432124,35.5,0.797,842238.0,99.96772,97.66126,63.99544,1821782.0,0.45569
2011-01-01,1.29200636159222,2.681182713,21.1127362058663,2101.2047694617518,-9276545443.60215,-5.05690467562068,37.0315825913804,2.00715624364216,17907.674626981203,17610.0,354761282313.91,7.1774001121521,36.12145900726319,89.4000015258789,43500.0,1224.0,15.824519964332499,2.0,-0.3289806,0.18609070000000005,2.0,0.6582558000000001,0.3761372,35.9,0.7979999999999999,825962.0,99.60194,98.26016,58.18541,1777771.0,0.49582
2012-01-01,1.78016129261889,2.293749015,21.5509591718079,2112.86898243023,-8200067935.73753,-4.78986369600797,37.4089525954752,2.0771650065377703,18931.5324968882,18600.0,373163303549.911,6.79370021820068,44.0,106.4000015258789,43500.0,1308.0,16.0438362308206,2.0,-0.31195009999999995,0.0823416,2.0,0.5546572,0.3185296,36.5,0.7959999999999999,807047.0,98.58544,97.51628,49.71394,1714307.0,0.4825100000000001
2013-01-01,2.01876838605237,2.723838128,23.0902321977293,2122.046697910016,-2076328541.87715,-1.08737297056475,39.873121713204704,3.51455180408476,19797.3788746757,19370.0,387063057031.335,7.09600019454956,43.0,106.8000030517578,44000.0,1262.0,16.3187927983702,2.0,-0.07442460000000001,0.17913310000000002,2.0,0.6117656,0.3115235,36.9,0.8,835126.6344271356,95.49688950647932,96.64545,46.84502,1669005.0,0.38666
2014-01-01,1.9382151850503104,2.821499405,24.3318800956785,2128.6877644504,-1382752069.81905,-0.6926685322199599,41.1641751799795,3.41080910017932,20623.3243694339,20360.0,405392396057.786,6.80210018157959,43.0,137.80000305175778,44000.0,731.6666666666667,16.6299592781568,2.0,-0.0259938,0.0491361,2.0,0.5813455,0.4281268,36.0,0.8029999999999999,905882.0355116874,93.08439034561664,94.41653,47.1371,1609259.0,0.3825
