year,Renewable_energy_consumption_perc_of_total_final_energy_consumption,Renewable_internal_freshwater_resources_per_capita_in_cubic_meters,Current_account_balance_BoP_current_US_dol,Current_account_balance_perc_of_GDP,Exports_of_goods_and_services_perc_of_GDP,Foreign_direct_investment_net_inflows_perc_of_GDP,GDP_growth_annual_perc,GDP_PPP_current_international_dol,GNI_per_capita_PPP_current_international_dol,GNI_PPP_current_international_dol,Unemployment_total_perc_of_total_labor_force_national_estimate,Population_ages_65_and_above_perc_of_total_population,Government_Effectiveness_Estimate,Political_Stability_And_Absence_Of_Violence_Terrorism_Estimate,Regulatory_Quality_Estimate,Voice_And_Accountability_Estimate,GINI_index_World_Bank_estimate,Primary_education_pupils,School_enrollment_primary_perc_gross,School_enrollment_secondary_perc_gross,School_enrollment_tertiary_perc_gross,Secondary_education_pupils,internet_users_for_authority_servicies,Research_and_development_expenditure_perc_of_GDP
2005-01-01,6.24908696725425,6.306465482310911,2351.020895986732,-5125148705.738971,-8.16297488785075,72.30189346425148,6.62346160878337,16639.3941239799,16160.0,86800343536.12,16.2560997009277,11.637679309897099,0.9271799,0.8953888000000001,1.161917,0.8999568000000001,29.3,242459.0,98.21761,93.27786,40.35344,662659.0,52.94509887695313,0.4940100000000001
2006-01-01,8.06334335060879,6.56761632766667,2347.61750590869,-5452492095.42579,-7.71126963036136,81.2398533216646,8.49317694925051,18894.4043480887,18300.0,98320841108.7014,13.372799873352099,11.774319355886199,0.8825375,0.7819173,1.133783,0.9311233,25.8,235378.0,100.58846,92.68424,44.77801,640120.0,64.94129943847656,0.47563
2007-01-01,5.85077572963109,8.23217672720624,2344.35091435267,-4632972214.12302,-5.35888199796344,83.3808614210341,10.832027901417801,21201.8585290778,20540.0,110380551616.639,11.1434001922607,11.9217766081117,0.7320563,1.035826,1.021248,0.9474362,24.7,230536.0,103.00017,92.33735,50.18767,617109.0,42.00849914550781,0.44824
2008-01-01,4.61920382042022,7.6294302590125715,2341.2211213186692,-6270398054.51731,-6.24109553049837,80.14799534874591,5.57488636038981,23725.8577558996,23250.0,125077405429.544,9.50759983062744,12.0821851286011,0.864835,1.08077,1.115403,0.9354531,26.0,224769.0,103.95,91.7409,53.75125,591482.0,55.47109985351562,0.46204
2009-01-01,1.70819408331322,9.9991415642967,2338.2201147303736,-3020735525.6965103,-3.39232050121374,68.0361180943086,-5.455532237480671,23085.3328910618,22900.0,123364618193.176,12.0254001617432,12.2575494528668,0.8689756,0.9190537,1.050077,0.8762503,27.2,217805.0,102.94312,91.67635,56.04681,568629.0,50.0551986694336,0.47326
2010-01-01,2.34612932385008,10.2797356630759,2335.364293530888,-4209659221.6365204,-4.667856645062638,77.31697506955341,5.7208447993039,25152.76419964,24400.0,131564298602.343,14.3794002532959,12.4523388253859,0.8371224,1.053317,1.0012299999999998,0.910907,27.3,212421.0,101.448,92.26112,57.06673000000001,549760.0,63.56209945678711,0.6161399999999999
2011-01-01,5.486594536660991,10.3575669304655,2332.6452708534234,-4909247747.63555,-4.958960270949941,85.0149858061686,2.86444294782228,26049.792384201603,24900.0,134396744120.836,13.6174001693726,12.716102997686999,0.8325478999999999,0.9747573,1.004638,0.965979,26.5,209213.0,100.304,92.5989,56.24748,530300.0,61.84970092773438,0.6632600000000001
2012-01-01,1.8816251284178505,10.4725845421321,2330.06304669798,889408167.6147571,0.9420041950170948,91.0358772574459,1.89581081230277,26933.4222167626,26140.0,141334374541.664,13.963299751281701,12.996166680425,0.8363792,1.088401,1.046938,0.9730169,26.1,209325.0,100.5292,92.596,56.14001,509791.0,53.11199951171875,0.80495
2013-01-01,1.01687891314575,10.6783822104781,2327.611109176949,1797389174.28443,1.82062131924988,93.61535620173781,0.670844582231595,27967.1723033741,27640.0,149610025166.76,14.2204999923706,13.303183027542,0.7891342,1.119518,0.9341252,0.9595503,28.1,211407.0,100.5876,90.81761,54.36053,481574.0,40.314701080322266,0.82362
2014-01-01,-0.35858370849861204,12.242751545820902,2325.30285685602,1198842398.64519,1.1849638988235802,91.5183156556527,2.7524343314004702,28991.565830839503,28560.0,154769445337.15698,13.184100151062,13.6510571483253,0.8762358,1.039121,0.8897796999999998,0.9595861,26.1,213766.0,99.76804,90.67749,52.68478,464957.0,68.64510345458984,0.88008
