year,clean_footprint,Renewable_energy_consumption_perc_of_total_final_energy_consumption,Renewable_internal_freshwater_resources_per_capita_in_cubic_meters,Current_account_balance_BoP_current_US_dol,Current_account_balance_perc_of_GDP,Exports_of_goods_and_services_perc_of_GDP,Foreign_direct_investment_net_inflows_perc_of_GDP,GDP_growth_annual_perc,GDP_PPP_current_international_dol,GNI_per_capita_PPP_current_international_dol,GNI_PPP_current_international_dol,Unemployment_total_perc_of_total_labor_force_national_estimate,building_permits_annual,existing_lifts,new_lifts,Population_ages_65_and_above_perc_of_total_population,civil_liberties,Government_Effectiveness_Estimate,Political_Stability_And_Absence_Of_Violence_Terrorism_Estimate,political_rights,Regulatory_Quality_Estimate,Voice_And_Accountability_Estimate,GINI_index_World_Bank_estimate,Human_development_index,Primary_education_pupils,School_enrollment_primary_perc_gross,School_enrollment_secondary_perc_gross,School_enrollment_tertiary_perc_gross,Secondary_education_pupils,internet_users_for_authority_servicies,Research_and_development_expenditure_perc_of_GDP
2005-01-01,2.68129418565538,2.358751431,14.5662547123469,9370.330352471155,-680500000.0,-1.87950215630252,59.8112701649269,3.797970490594471,23852.6432841831,23630.0,47268194743.7862,6.50559997558594,158.6999969482422,9443.20576680101,0.0,15.5025925123911,1.0,0.8928185,1.091757,1.0,0.8854151,1.09229,24.6,0.861,93156.0,100.53746,97.18781,79.24755,181299.0,41.10110092163086,1.41229
2006-01-01,1.7527944188078002,2.321713378,14.414371572337501,9307.256027750349,-695267588.989618,-1.76101618010634,64.8702153080267,5.746396933775929,25693.7309535734,25370.0,50917015256.0063,5.950200080871579,203.0,9312.326048365941,0.0,15.771637460485499,1.0,0.96356,1.084757,1.0,0.7956023,1.069615,24.4,0.868,93274.0,101.84752,96.97823,82.57848,174330.0,59.86199951171875,1.53291
2007-01-01,3.92553373703866,2.323192734,14.089977079438803,9251.175102397181,-2014619534.78415,-4.19656683880872,67.8990700665536,6.980162428226321,27543.4916968252,26910.0,54308490827.6873,4.81809997558594,300.29998779296875,9277.960332196873,0.0,16.0241099180068,1.0,0.936191,1.097749,1.0,0.7999156999999999,1.062971,24.4,0.873,107848.0,98.27503,98.65697,84.57386,152720.0,56.20220184326172,1.42382
2008-01-01,1.94544191956981,2.325839415,13.8524951998047,9202.087576411655,-2946457396.89484,-5.30391419762887,66.313254139554,3.50984122639673,29604.2912348481,28830.0,58273321247.2921,4.37060022354126,224.1000061035156,9340.0,0.0,16.259245931394695,1.0,1.187827,1.147953,1.0,0.8341884,1.017365,23.7,0.878,107295.0,98.6131,98.79871,85.51545,147463.0,60.02410125732422,1.62564
2009-01-01,-0.6888718698157309,2.285219504,19.0283649811127,9159.887729665184,-535417871.2921349,-1.06301078110864,57.2642886378883,-7.54843872032357,27543.3911849112,27090.0,55247729111.076,5.8569002151489284,126.4000015258789,9500.0,75.0,16.4787265636217,1.0,1.154734,0.9348058,1.0,0.9156417,1.055124,24.8,0.877,107104.0,99.13549,98.74992,86.44243,142349.0,55.19860076904297,1.81629
2010-01-01,0.662657066374074,2.30349708,19.504753848483396,9124.80616241321,-357445846.866522,-0.742185553587093,64.2748224424957,1.3437484757803202,27824.648073815097,27460.0,56246012624.7941,7.236199855804441,100.0,9775.0,275.0,16.6889749463745,1.0,1.026441,0.8665088,1.0,0.7612643,1.048638,24.9,0.8809999999999999,106883.0,99.49639,98.94939,89.15319000000002,138354.0,63.41889953613281,2.05763
2011-01-01,1.7003262899474298,2.294365286,18.5864329328115,9096.717994528879,-420011482.546151,-0.8152971650612231,70.24714459094271,0.861329048743073,28931.3837141518,28540.0,58585332628.1712,8.16600036621094,62.4000015258789,10195.0,222.0,16.9008042268098,1.0,0.9895115,0.9692097,1.0,0.6972604,1.056918,24.9,0.883,106946.0,99.85341,98.89345,86.01755,134861.0,65.756103515625,2.42358
2012-01-01,0.0719999143700849,2.271191209,19.7046257549979,9075.62322601219,612039460.222181,1.3139404236481,72.89158920607221,-2.63943872926306,29042.8202729641,28590.0,58814142549.4361,8.84020042419434,41.29999923706055,10195.0,101.0,17.105747190113,1.0,1.03165,0.9351107,1.0,0.63064,0.9997781,25.6,0.8759999999999999,107965.0,100.2945,98.36042,87.01796,132221.0,68.88200378417969,2.5731900000000003
2013-01-01,0.21491454745393695,2.2006486130000003,22.0056325886711,9061.49282922077,1593819071.19235,3.29288558797788,74.2164744110101,-1.02928383130694,29973.6991074851,29570.0,60918129358.2224,10.1022996902466,31.29999923706055,10195.0,115.0,17.336496842146097,1.0,1.0131629999999998,0.8822517,1.0,0.6301469,1.001897,26.2,0.884,109024.0,99.94418,111.0649,85.28806,147563.0,69.76820373535156,2.5801
2014-01-01,2.04159148472,2.264713207,22.3004865571111,9054.40401943763,2555789894.9345,5.11867580876471,76.151742671285,2.7681580195902904,30870.0236667425,30590.0,63069203941.5599,9.66759967803955,17.0,10195.0,115.0,17.632073317958806,1.0,1.00516,0.9657734,1.0,0.6616280999999999,0.9561069,25.7,0.8859999999999999,111448.0,99.71509,110.4855,82.23113000000002,145179.0,71.87059783935547,2.3667
2015-01-01,4.0151778847441,2.243775817,20.877396143265802,9114.862930112322,1645489390.2771802,3.8187114911575697,77.14867756723679,2.2100816239482,31636.750034272,30660.0,63269913868.7162,8.962300300598141,12.199999809265135,10275.5,144.0,18.013286024182104,1.0,0.9724185,0.9533927,1.0,0.6263494000000001,0.9868262,25.4,0.8859999999999999,115344.0,99.94983,110.3241,80.26099,143247.0,59.95320129394531,2.19655
2016-01-01,3.23902450718341,2.240118547,23.526041333584196,9107.951464608144,2154725040.68073,4.82564581849747,77.97150786068259,3.1216997819147,33191.6738744733,32350.0,66801877982.1031,8.00010013580322,17.799999237060547,10401.3,179.0,18.480770992329603,1.0,1.127259,0.990436,1.0,0.6402694,1.010171,26.570804965496063,0.892,119342.0,99.83801,115.9301,77.84908,148896.0,59.33620071411133,2.00888
2017-01-01,2.4694179627884902,2.2261757555716906,23.35994412405839,9083.931912549935,2987859083.33465,6.16794554295254,83.1708095021404,4.83338291255969,36142.7909392651,35490.0,73333814009.5695,6.56440019607544,22.0,10606.0,293.0,19.0233163840774,1.0,1.170688,0.8732033000000001,1.0,0.5781539000000001,1.0048979999999998,26.346128398046773,0.899,123768.0,100.3967,115.6004,78.589,147920.0,62.18080139160156,1.85113
2018-01-01,2.82154073245912,2.301507679209631,23.025954209099673,9084.2546481285,3073243299.12844,5.69035121902065,85.3786313506452,4.11821785906514,38048.7846591976,37450.0,77420947580.3332,5.10780000686646,24.007821644091205,10764.0,225.0,19.6068796541788,1.0,1.125806,0.9109183,1.0,0.6948206,0.9910611,26.067003233069094,0.902,111089.90784597397,100.07539847222745,110.81973988325475,86.37042036055448,147588.52775374055,66.64179992675781,2.719055126595497
