year,clean_footprint,Renewable_energy_consumption_perc_of_total_final_energy_consumption,Renewable_internal_freshwater_resources_per_capita_in_cubic_meters,Current_account_balance_BoP_current_US_dol,Current_account_balance_perc_of_GDP,Exports_of_goods_and_services_perc_of_GDP,Foreign_direct_investment_net_inflows_perc_of_GDP,GDP_growth_annual_perc,GDP_PPP_current_international_dol,GNI_per_capita_PPP_current_international_dol,GNI_PPP_current_international_dol,Unemployment_total_perc_of_total_labor_force_national_estimate,corruption_perceptions_index,building_permits_annual,existing_lifts,new_lifts,Population_ages_65_and_above_perc_of_total_population,civil_liberties,Government_Effectiveness_Estimate,Political_Stability_And_Absence_Of_Violence_Terrorism_Estimate,political_rights,Regulatory_Quality_Estimate,Voice_And_Accountability_Estimate,GINI_index_World_Bank_estimate,Human_development_index,Primary_education_pupils,School_enrollment_primary_perc_gross,School_enrollment_secondary_perc_gross,School_enrollment_tertiary_perc_gross,Secondary_education_pupils,internet_users_for_authority_servicies,Research_and_development_expenditure_perc_of_GDP
2005-01-01,2.34181137917211,1.204376965,7.28981647261528,2538.614134853612,-83915470590.1026,-7.27620861237921,24.9792690409411,3.65203267433178,27606.9340516269,27230.0,1188490567999.29,-2.8975754524052615,70.0,727.4000244140625,680873.0,27322.0,16.6780219587746,1.0,1.50673,0.1952135,1.0,1.305955,1.131404,32.4,0.8440000000000001,2484903.0,103.05699,117.34223,67.15335,3107816.0,51.55184506558305,1.09577
2006-01-01,2.61468231232965,1.375332417,8.472207210449211,2495.282164636438,-111532335014.355,-8.856384466180028,25.2413025005404,4.10272711542463,30688.3662172506,30120.0,1337283053798.99,3.4506274564496,68.00000190734863,913.0999755859376,711160.0,30291.0,16.7002540770087,1.0,0.8372023999999999,-0.1502582,1.0,1.177149,1.078725,33.5,0.848,2501205.0,103.72332,117.33755,68.53449,3091036.0,50.96060180664063,1.1721700000000002
2007-01-01,4.63475472746274,1.524926851,9.005387929486481,2458.71900341928,-139287625661.585,-9.46163173147175,25.984738814678,3.60468797126931,32438.1733867257,31640.0,1431073851685.54,8.960057416809438,66.99999809265137,795.4000244140625,745736.0,34571.0,16.7403668963023,1.0,0.9933218,-0.2753482,1.0,1.21499,1.1230870000000002,34.1,0.853,2555757.0,104.15159,116.35605,68.75185,3080161.0,49.78810119628906,1.23448
2008-01-01,4.55866954148651,1.437509234,9.73720293479251,2428.9246512021373,-145715515235.168,-8.96586807076523,25.623929174316203,0.887145182485298,33263.2723985249,32340.0,1486151637639.11,13.630714428674267,65.0,326.79998779296875,779572.0,33836.0,16.8106422368921,1.0,0.9203469,-0.3808494,1.0,1.25476,1.185326,34.2,0.856,2625414.0,104.6608,115.52629,69.74542,3069321.0,53.12469863891602,1.31706
2009-01-01,0.642832486133276,1.320448865,12.2179472922962,2405.8453220497336,-60418930687.3382,-4.06701682361139,23.0616941747255,-3.76323192690089,32098.9750530883,31480.0,1459708879063.31,17.8567008972168,60.999999046325684,157.5,802962.0,23390.0,16.9156289347971,1.0,0.9458322,-0.4737767,1.0,1.189271,1.176973,34.9,0.858,2684078.0,104.58888,115.02879,71.58433000000002,3065017.0,55.10499954223633,1.35134
2010-01-01,2.5768123129475,1.378472574,14.3957857926708,2389.607132514813,-52249545356.1328,-3.67767544272603,25.951679346402397,0.163010230841422,31680.185393235097,31220.0,1454059385239.25,19.859699249267603,60.999999046325684,100.0,833533.0,30571.0,17.0541804817134,1.0,0.9947988,-0.3180437,1.0,1.160325,1.122543,35.2,0.865,2720989.0,103.9756,119.116,75.91095,3185008.0,58.18090057373047,1.34961
2011-01-01,1.81447968715079,1.406266471,14.7459265297844,2380.137751979909,-39975229877.5027,-2.70327052422534,29.5349622049272,-0.81437345515107,31867.973239686202,31310.0,1463308449873.9,21.3904991149902,62.29599952697754,81.30000305175781,857283.0,23750.0,17.3290574510707,1.0,1.027235,0.0211045,1.0,1.065844,1.085866,35.7,0.87,2772909.0,104.5556,120.9333,80.03797,3248018.0,55.76599884033203,1.32508
2012-01-01,1.5736837955695302,1.1690938709999998,15.7709502104472,2377.43718044502,735150583.0459,0.0554905973974906,31.45527248111,-2.959441301735549,31720.1199986535,31470.0,1471780320471.5,24.7872009277344,65.0,62.70000076293945,1014953.0,12528.0,17.642792457609,1.0,1.120682,-0.0295164,1.0,0.9529905,1.064179,35.4,0.873,2816584.0,105.2402,122.8375,82.27033,3296129.0,60.99359893798828,1.28788
2013-01-01,3.49680634167963,1.506264558,16.9499656957041,2381.525861510986,27588004255.4173,2.03637961889562,32.9625774735678,-1.43539425919327,32434.0032017704,32220.0,1501976882039.12,26.093599319457997,59.0,27.10000038146973,1021953.0,12331.0,17.9808804732865,1.0,1.154523,0.0120178,1.0,0.9390443000000002,0.9888706,36.2,0.875,2847723.0,108.1938,123.1873,83.72564,3296359.0,59.37300109863281,1.26859
2014-01-01,2.40567289745613,1.313388803,17.3517358032041,2392.38145265832,22662337678.7699,1.65491140642787,33.4825675913959,1.3839079426702905,33525.7406299089,33400.0,1552593080187.63,24.4412994384766,60.0,32.09999847412109,1030312.0,13273.0,18.319277736239894,1.0,1.159705,0.2431217,1.0,0.750495,0.9937256,36.1,0.88,2877596.0,107.152,123.3749,85.44627,3288424.0,63.35309982299805,1.23535
2015-01-01,1.92759596471091,1.324162622,16.254097737239,2366.9563273988197,24107676878.1213,2.0171774887954,33.626518434655104,3.835172660338461,34912.4761266679,34900.0,1621139938786.75,22.057300567627,58.0,33.09999847412109,1022229.0,14396.0,18.6468349302748,1.0,1.174035,0.2514912,1.0,0.8076366999999999,1.0448309999999998,36.2,0.885,2928418.0,106.364,124.9607,85.61178000000002,3313127.0,62.0103988647461,1.21963
