year,clean_footprint,Renewable_energy_consumption_perc_of_total_final_energy_consumption,Renewable_internal_freshwater_resources_per_capita_in_cubic_meters,Current_account_balance_BoP_current_US_dol,Current_account_balance_perc_of_GDP,Exports_of_goods_and_services_perc_of_GDP,Foreign_direct_investment_net_inflows_perc_of_GDP,GDP_growth_annual_perc,GDP_PPP_current_international_dol,GNI_per_capita_PPP_current_international_dol,GNI_PPP_current_international_dol,Unemployment_total_perc_of_total_labor_force_national_estimate,corruption_perceptions_index,building_permits_annual,existing_lifts,new_lifts,Population_ages_65_and_above_perc_of_total_population,civil_liberties,Government_Effectiveness_Estimate,Political_Stability_And_Absence_Of_Violence_Terrorism_Estimate,political_rights,Regulatory_Quality_Estimate,Voice_And_Accountability_Estimate,GINI_index_World_Bank_estimate,Human_development_index,Primary_education_pupils,School_enrollment_primary_perc_gross,School_enrollment_secondary_perc_gross,School_enrollment_tertiary_perc_gross,Secondary_education_pupils,internet_users_for_authority_servicies,Research_and_development_expenditure_perc_of_GDP
2005-01-01,5.33227869615666,10.55324104,39.9918953271391,18948.382346702077,23583338994.913,6.0508508082437515,45.049111481982614,2.8958935623452904,34029.190292314,34500.0,311479619232.968,7.48570013046265,91.99999809265137,111.4000015258789,108300.0,1328.0,17.3066074334553,1.0,1.892862,1.301027,1.0,1.534101,1.584473,26.8,0.899,658461.0,95.80499,104.05971,81.95384,735494.0,63.57929992675781,3.387
2006-01-01,5.2478365323143485,10.34961556,41.12658776837821,18822.937312870996,34468824245.4933,8.202492797056559,47.5362804971464,4.6024886102724905,37435.3757337054,38410.0,348814878843.415,7.06580018997192,91.99999809265137,176.0,101799.0,1248.0,17.395946533511697,1.0,1.804315,1.294893,1.0,1.439837,1.485718,26.4,0.902,626847.0,95.64809,103.56905,79.3248,750567.0,63.59962731844953,3.50032
2007-01-01,9.456162594704079,10.39879645,42.9246551712398,18692.4224198882,39927516579.5256,8.18232312550116,47.546519810885705,3.4308839076115,40592.800196812204,41820.0,382544343920.748,6.1609001159668,93.00000190734863,82.9000015258789,103623.0,2202.0,17.548703532785698,1.0,2.025398,1.271177,1.0,1.57208,1.510136,27.1,0.905,601120.0,96.69781,102.3869,74.83711,760491.0,65.61000061035156,3.25661
2008-01-01,8.0394752603195,10.25702797,44.865588131818285,18556.83766775367,40802935942.2616,7.91654137282535,49.16866908458079,-0.242293278297552,41971.612048599396,43430.0,400366853301.73706,6.23479986190796,93.00000190734863,76.4000015258789,103933.0,1871.0,17.748755254737002,1.0,1.956433,1.129976,1.0,1.6357780000000002,1.520167,28.1,0.9009999999999999,584726.0,98.71492,101.3035,70.73696,764264.0,65.98329925537111,3.49525
2009-01-01,2.05942986760786,10.16680299,47.0773641961662,18415.790737328032,25918197361.0024,5.95664261446241,43.5397115615308,-4.2364205140448,40156.4103088914,41100.0,382175651021.111,8.3508996963501,91.99999809265137,70.0,10325.0,1714.0,17.9744052643339,1.0,2.045359,1.085468,1.0,1.652537,1.546039,27.3,0.899,573416.0,99.90296,99.48973,70.74316,751826.0,71.09420013427734,3.44965
2010-01-01,0.12619947991505098,9.973156843,45.97780593020021,18270.05237686498,29195824932.3735,5.894233392963471,44.732840292956,6.18902943465953,42179.3371249669,43330.0,406318851261.387,8.60970020294189,91.99999809265137,100.0,107425.0,1376.0,18.2185664835815,1.0,2.004213,1.09417,1.0,1.658656,1.542726,27.7,0.9059999999999999,576110.0,101.4376,98.12031,73.67311,731273.0,74.21080017089844,3.21611
2011-01-01,1.21858172645476,9.896775911,46.487029653600295,18119.244157250203,31438301866.0035,5.489066969101652,45.3898994874619,3.05232352945791,44503.673236459406,45420.0,429144502027.46704,7.80410003662109,92.98487663269043,115.4000015258789,109575.0,2314.0,18.5013061559929,1.0,1.965064,1.230688,1.0,1.898798,1.612955,27.6,0.9059999999999999,578486.0,100.4285,96.97975,72.8254,698968.0,78.3822021484375,3.24919
2012-01-01,0.7756983614671171,9.850132507,49.948549500727395,17963.3660784837,30417334377.5637,5.521119056379268,45.200813708845395,-0.6309743673005529,45304.4157121075,46340.0,441172311031.33,7.97569990158081,88.0,108.1999969482422,111400.0,2168.0,18.809759638982694,1.0,1.95701,1.170597,1.0,1.907862,1.6903580000000002,27.6,0.9079999999999999,602295.0,101.9239,98.14225,68.81765,675782.0,83.35810089111328,3.28134
2013-01-01,0.22527323679765895,9.747945567999999,48.825222263911705,17801.97022327093,30298382929.3698,5.1824195155055985,42.80287812402021,1.08783120005064,46138.4545736846,47180.0,452932249986.944,8.05210018157959,89.0,145.1999969482422,113220.0,2600.0,19.120097117742397,1.0,1.909026,1.1277780000000002,1.0,1.905513,1.6581099999999998,28.8,0.927,617397.0,120.4248,128.5564,63.21716,838671.0,82.05159759521484,3.30605
2014-01-01,-1.4863032835136205,9.742974826000001,49.69341469037,17635.9385361759,26016749095.2257,4.48371882455886,43.5697767828211,2.74728771601418,47045.6463479824,48040.0,465812418766.259,7.95349979400635,87.0,169.0,115189.0,2461.25,19.394671821914105,1.0,1.803889,1.065415,1.0,1.81139,1.611089,28.4,0.929,635676.0,120.8581,132.9421,62.18059,826694.0,86.89910125732422,3.14587
2015-01-01,2.0487636359558703,9.723086237999999,53.2477697984376,18166.14585197956,20663106791.5061,4.10266662496732,44.294977676496,4.4207996393632,48975.0045123538,49420.0,484243010173.511,7.43160009384155,89.0,230.1999969482422,117664.0,2908.0,19.6085182207794,1.0,1.815902,0.9471064,1.0,1.815066,1.56531,29.2,0.932,657996.0,122.9374,140.4368,62.28248000000001,844112.0,79.3958969116211,3.26549
2016-01-01,2.65945680625609,9.550181808,48.98632498619371,18163.381659833132,19219323664.3767,3.7265212717644713,43.256044942263,2.41303814097833,49423.216467024,49760.0,493799644354.864,6.9899997711181605,88.0,277.29998779296875,123281.0,3674.0,19.8401953150298,1.0,1.773643,1.017941,1.0,1.854203,1.5639040000000002,28.671536302566526,0.934,679569.0,124.8511,144.9093,63.54802,856094.0,81.97260284423828,3.2549
2017-01-01,4.5654969112374815,10.106311018879028,47.97502235244015,18212.912096056898,15162377475.5154,2.80501546491096,44.4335113738318,2.4118514527697004,51878.694399680986,52660.0,529656322889.439,6.71829986572266,84.0,129.9929956692758,125657.0,3136.0,19.9914163662092,1.0,1.837576,0.9842001,1.0,1.798393,1.5769799999999998,29.292245435714722,0.935,701906.0,126.5754,152.8607,66.98824,916224.0,87.20169830322266,3.3120300000000005
2018-01-01,1.6224814448064802,9.770701577225795,49.304032848700366,17757.20160519113,9478630193.19259,1.7045244546975402,45.7877169725135,2.22523861239767,53208.8843603785,54030.0,550245288020.764,6.3460998535156286,85.0,170.0365496885697,126370.0,3353.0,20.0955249278002,1.0,1.830975,0.9136876,1.0,1.800021,1.611055,28.179775316811135,0.937,634169.727260232,120.14637580376923,133.1590900159657,62.96978498999491,802303.9983661175,89.5062026977539,3.1146744652901592
