year,clean_footprint,Renewable_energy_consumption_perc_of_total_final_energy_consumption,Renewable_internal_freshwater_resources_per_capita_in_cubic_meters,Current_account_balance_BoP_current_US_dol,Current_account_balance_perc_of_GDP,Exports_of_goods_and_services_perc_of_GDP,Foreign_direct_investment_net_inflows_perc_of_GDP,GDP_growth_annual_perc,GDP_PPP_current_international_dol,GNI_per_capita_PPP_current_international_dol,GNI_PPP_current_international_dol,Unemployment_total_perc_of_total_labor_force_national_estimate,corruption_perceptions_index,building_permits_annual,existing_lifts,new_lifts,Population_ages_65_and_above_perc_of_total_population,civil_liberties,Government_Effectiveness_Estimate,Political_Stability_And_Absence_Of_Violence_Terrorism_Estimate,political_rights,Regulatory_Quality_Estimate,Voice_And_Accountability_Estimate,GINI_index_World_Bank_estimate,Human_development_index,Primary_education_pupils,School_enrollment_primary_perc_gross,School_enrollment_secondary_perc_gross,School_enrollment_tertiary_perc_gross,Secondary_education_pupils,internet_users_for_authority_servicies,Research_and_development_expenditure_perc_of_GDP
2005-01-01,9.95215612633774,1.244965898,1.3522797381444902,2403.006143548262,-49149334300.2486,-1.9360192816837296,24.973608331889,3.1797289240596496,32668.226316135497,33110.0,1999826177646.45,4.029421753482833,86.00000381469727,162.0,240000.0,9499.0,16.035621311680302,1.0,1.7665959999999998,0.1267411,1.0,1.614293,1.443956,34.3,0.89,4634991.0,106.38617,105.42197,58.9661,5760887.0,36.66719818115234,1.56386
2006-01-01,7.50387652239409,1.217117066,1.55391999101972,2383.5514933686195,-75847895288.4724,-2.79494801350882,27.101075784973197,2.78832455947308,34767.0011352627,34800.0,2117541174766.32,5.062555339058861,86.00000381469727,163.3000030517578,249600.0,7968.0,16.1098282649272,1.0,1.670994,0.6691800999999999,1.0,1.839874,1.378774,34.6,0.889,4517618.0,105.06858,98.24422,59.03244,5357793.0,48.294585519866914,1.58552
2007-01-01,6.75662394763812,1.177429667,1.83965077165068,2364.5495126312803,-103088716343.798,-3.3244962114095897,25.2397534941132,2.43055321242285,35600.007793119104,35430.0,2172784692445.95,5.913106607861449,83.99999618530273,174.5,255000.0,8724.0,16.173237001637098,1.0,1.6481740000000002,0.5753913,1.0,1.866609,1.335596,35.7,0.892,4409184.0,103.2406,97.1942,58.49451,5306369.0,52.77109909057617,1.6268
2008-01-01,8.672014077440041,1.249150591,2.78279191396424,2346.0002013362455,-114803011373.054,-3.9280219196267914,26.9894102322679,-0.281153589519334,36660.192563540295,36320.0,2244862767229.45,5.6149997711181605,76.99999809265138,105.5999984741211,267750.0,7374.0,16.2508781666235,1.0,1.643775,0.4946935000000001,1.0,1.7851709999999998,1.321023,34.1,0.8959999999999999,4465021.0,105.06189,98.33966,56.64391,5356450.0,50.522499084472656,1.63064
2009-01-01,0.6033866738158101,1.189604945,3.3830316630886603,2327.8546014368394,-79877916831.5849,-3.31318562243956,26.3730781880932,-4.24782174662953,35003.497418398,34740.0,2163634903821.23,7.53730010986328,76.99999809265138,87.9000015258789,270000.0,5655.0,16.377077285929698,1.0,1.512003,0.1215835,1.0,1.584341,1.303301,34.3,0.899,4416474.0,104.25979,100.16977,57.90053,5429636.0,57.4020004272461,1.69094
2010-01-01,2.6960793614666096,1.19181027,3.6389182618799705,2310.211869216665,-78778924007.3021,-3.1826726488148203,28.275071211110106,1.94952148180782,36340.7338744538,36370.0,2282589039711.01,7.78660011291504,75.99999904632568,100.0,272700.0,5655.0,16.569744427843197,1.0,1.5683790000000002,0.4118182,1.0,1.732978,1.289994,34.4,0.905,4421903.0,104.5549,102.9047,58.92335,5538230.0,56.63830184936523,1.66861
2011-01-01,1.01575406843406,1.170661014,4.40111862136268,2293.0218064387955,-46703872303.8403,-1.75624020306475,30.7000187976267,1.54014736820638,37161.4906866096,37310.0,2360144861851.54,8.03769969940186,77.75084018707275,80.5999984741211,274900.0,5738.0,16.8081294158021,1.0,1.558901,0.35170759999999995,1.0,1.655506,1.297412,33.2,0.899,4419840.0,104.4257,93.76583,59.14593000000001,5000332.0,45.6531982421875,1.67454
2012-01-01,1.7283819251086203,1.092470611,4.751257618509071,2276.28441310323,-92827543226.9456,-3.43184465546129,29.9751039670716,1.4789239471568,38311.84607722431,37910.0,2415126689983.67,7.8846001625061,74.0,70.0,277600.0,7109.0,17.1061412302818,1.0,1.547542,0.4022707,1.0,1.645116,1.339133,32.3,0.897,4523583.0,106.2461,91.55276,59.40212,4849275.0,48.86489868164063,1.6025200000000002
2013-01-01,1.95523073173183,1.087688575,6.01578094932047,2259.9556953220854,-132862845873.011,-4.76890721804899,29.952601103524,2.13948570108317,39971.0253628526,39160.0,2510996076220.28,7.5241999626159695,76.0,76.80000305175781,280000.0,7541.0,17.4298656017238,1.0,1.495451,0.4862014,1.0,1.77062,1.329037,33.2,0.914,4622158.0,107.112,123.7763,57.03876,6496973.0,45.00389862060547,1.6476
2014-01-01,1.9221353538589496,1.1820174959999998,7.3952204555385,2244.12488106138,-144632005147.975,-4.72066884876575,28.502054819534607,2.6074759063105,41259.0009441734,40420.0,2611439141863.92,6.109600067138669,78.0,99.3000030517578,284000.0,7260.0,17.728029390009898,1.0,1.62673,0.4153476,1.0,1.825786,1.27579,34.0,0.9179999999999999,4737068.0,102.2555,126.3899,56.5645,6556992.0,55.57830047607422,1.6656799999999998
