date,Austria,Belgium,Bulgaria,Switzerland,Cyprus,Czech Republic,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Greece,Croatia,Hungary,Ireland,Iceland,Italy,Liechtenstein,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovak Republic,Slovenia,Sweden
2019-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01,10798736575.0,-5250876554.09341,3492220000.0,74099963146.712,-1067068304.01677,860048615.269931,289897516287.849,24780873569.4533,27306631572.0147,612392506.040835,-4468797258.63879,-19014298810.729,-123105578164.124,-6248523036.36721,1459036223.54372,-677865387.331751,40900554448.0038,731283429.759972,53839134098.599,,817584208.600275,3426284902.8119,-210956999.560439,1433226277.63042,99065091765.458,31372952649.9012,-5820000000.0,956877938.031136,-10944639009.8913,-2760395632.88142,3073243299.12844,9478630193.19259
2017-01-01,6419120340.87555,6180354945.89861,2121950000.0,44355927879.3031,-1132805131.73674,3148006331.6242,296337902385.136,25683297663.4616,35610683833.1265,723353000.450201,-1742487672.31506,-16470460330.8823,-93031015822.8211,-3605994841.93992,2997454900.01015,3150176782.29243,3397575466.98325,930728353.310476,53443391035.9481,,462920668.992767,3335727845.34828,299766145.990782,1345591322.41651,90173944092.4918,18440818211.8907,100000000.0,2865427669.91492,-6754854304.87709,-1834437895.07668,2987859083.33465,15162377475.5154
2016-01-01,10771582681.0119,2646800222.52589,1756550000.0,63571373082.7408,-863601462.207065,3015907873.71519,293731283633.359,24312984240.6132,39298651172.1781,401782336.637004,-1784728818.39047,-12205179244.4941,-141824209739.309,-3261057769.58007,1389873896.60942,5854912155.02455,14349608167.5609,1592738596.14919,48418400177.5711,,-344691889.622578,2957525196.52385,396602296.153894,434974438.914079,62920875900.3837,14765907707.4731,-2451000000.0,2254328982.76257,-3960512149.96554,-2432487662.19632,2154725040.68073,19219323664.3767
2015-01-01,6634070794.96634,6363243452.05958,61370000.0,76554499514.4823,-83510340.2370658,460991643.448602,288216635144.368,24953251921.341,24107676878.1213,403274473.824457,-1681491952.46055,-9130436716.69977,-143589214451.172,-1611391808.26571,2491562517.05656,2925516290.04182,31682331969.6243,888122196.339996,25379134923.6583,,-1014920719.00692,2949098683.87573,-241147383.917051,300472065.748363,48500916941.7724,31105578188.4766,-2626000000.0,470642359.964545,-2155841636.64956,-1849289470.10001,1645489390.27718,20663106791.5061
2014-01-01,10589968447.7841,4041465918.74957,747230000.0,60661859383.5493,-957946474.88024,457719869.135026,278432644859.211,31353332575.5896,22662337678.7699,173055018.043069,-4331080867.71232,-37354496128.6695,-144632005147.975,-3734712056.87206,448060736.081711,1604607987.09942,8918824411.84504,686690283.339159,40172048364.5287,,1651986577.22858,3344743190.08255,-719686383.360026,991367813.050305,75952978907.9213,54964662112.8759,-11405000000.0,340855577.589982,-1382752069.81905,1198842398.64519,2555789894.9345,26016749095.2257
2013-01-01,8379185904.99943,5078944279.8718,678640000.0,79673219972.9709,-349870669.376058,-1105890387.14822,245280384975.381,26685645940.0187,27588004255.4173,75410518.7800786,-5238728662.00055,-24382747331.6784,-132862845873.011,-4949141208.60395,566902270.930818,4665997538.15975,14436274710.2326,925852693.265679,21281996590.3629,,791119636.130651,3427890489.66947,-829023257.028305,270411855.303124,85496733373.1877,53449786436.0721,-6709000000.0,3720882132.09959,-2076328541.87715,1797389174.28443,1593819071.19235,30298382929.3698
2012-01-01,6141933076.67494,-413616611.594275,-528620000.0,71311683676.6801,-998425002.416898,-3158497435.6835,251550848619.467,20460990722.6196,735150583.0459,-444602799.656742,-5900574337.39528,-32875102689.5348,-92827543226.9456,-6172097058.75121,-207948363.42988,1989672606.8815,9240448060.17682,-551498813.34396,-7328074417.53105,,-686066798.88896,3208057139.62059,-1026550014.50062,151308332.458471,89514058235.6887,63595359982.8121,-18572000000.0,-3561728369.91936,-8200067935.73753,889408167.614757,612039460.222181,30417334377.5637
2011-01-01,6798975982.3796,-10168977415.4153,272490000.0,54661211220.7431,-606475259.489323,-5020059122.20126,231971688209.185,22681953273.8671,-39975229877.5027,309074192.337054,-4796921117.25686,-29508603051.6754,-46703872303.8403,-28599315728.5508,-375677421.393464,886554259.949579,2829018505.41802,-770298543.075026,-68277003214.7862,,-1592642666.40219,3587036822.16969,-921392612.033279,-13070293.3154778,81373336077.922,66453557988.1617,-27322000000.0,-14719312839.82,-9276545443.60215,-4909247747.63555,-420011482.546151,31438301866.0035
2010-01-01,11472431144.4445,7337927601.44296,-964620000.0,85821578272.7864,-2798526225.68996,-7351204483.70952,196171903151.515,21051011384.4253,-52249545356.1328,343686947.108224,2792204907.56176,-22031068187.7643,-78778924007.3021,-30262611051.7222,-894404541.475575,341646259.646128,2319661324.96392,-881086127.441132,-72993785933.0447,,72423566.0274165,3583714365.18471,434885510.678211,-419944052.336301,61803347055.1226,50258127255.8711,-25843000000.0,-24406544935.3535,-8478450856.71902,-4209659221.63652,-357445846.866522,29195824932.3735
