,Denmark,Finland,Switzerland,Sweden,Norway,Netherlands,Luxembourg,Germany,Iceland,United Kingdom,Austria,Belgium,Ireland,Estonia,France,Portugal,Spain,Poland,Latvia,Italy,Greece,Romania,Hungary,Bulgaria
1998-01-01,100.0,96.00000381469727,88.99999618530273,95.0,90.0,90.0,86.99999809265137,79.00000095367432,93.00000190734863,86.99999809265137,75.0,54.000000953674316,81.99999809265137,56.99999809265137,66.99999809265137,65.0,60.999999046325684,45.999999046325684,27.000000476837158,45.999999046325684,49.000000953674316,30.0,50.0,29.000000953674316
1999-01-01,100.0,98.00000190734863,88.99999618530273,93.99999618530273,88.99999618530273,90.0,88.00000190734863,80.0,91.99999809265137,86.00000381469727,75.99999904632568,53.00000190734863,76.99999809265137,56.99999809265137,65.99999904632568,66.99999809265137,65.99999904632568,41.99999809265137,34.000000953674316,46.99999809265137,49.000000953674316,32.99999952316284,51.99999809265137,32.99999952316284
2000-01-01,98.00000190734863,100.0,86.00000381469727,93.99999618530273,91.00000381469727,88.99999618530273,86.00000381469727,75.99999904632568,91.00000381469727,86.99999809265137,76.99999809265137,60.999999046325684,71.99999809265137,56.99999809265137,66.99999809265137,64.00000095367432,70.0,40.999999046325684,34.000000953674316,45.999999046325684,49.000000953674316,29.000000953674316,51.99999809265137,35.0
2001-01-01,95.0,98.99999618530273,83.99999618530273,90.0,86.00000381469727,88.00000190734863,86.99999809265137,74.00000095367432,91.99999809265137,83.00000190734863,78.00000190734863,65.99999904632568,75.0,55.999999046325684,66.99999809265137,63.00000190734863,70.0,40.999999046325684,34.000000953674316,55.0,41.99999809265137,27.999999523162842,53.00000190734863,39.000000953674316
2002-01-01,95.0,96.99999809265137,85.0,93.00000190734863,85.0,90.0,90.0,73.00000190734863,93.99999618530273,86.99999809265137,78.00000190734863,70.99999904632568,69.00000095367432,55.999999046325684,63.00000190734863,63.00000190734863,70.99999904632568,40.0,37.00000047683716,51.99999809265137,41.99999809265137,25.999999046325684,49.000000953674316,40.0
2003-01-01,95.0,96.99999809265137,88.00000190734863,93.00000190734863,88.00000190734863,88.99999618530273,86.99999809265137,76.99999809265137,96.00000381469727,86.99999809265137,80.0,75.99999904632568,75.0,55.0,69.00000095367432,65.99999904632568,69.00000095367432,35.999999046325684,37.99999952316284,53.00000190734863,43.00000190734863,27.999999523162842,48.00000190734863,39.000000953674316
2004-01-01,95.0,96.99999809265137,91.00000381469727,91.99999809265137,88.99999618530273,86.99999809265137,83.99999618530273,81.99999809265137,95.0,86.00000381469727,83.99999618530273,75.0,75.0,60.0,70.99999904632568,63.00000190734863,70.99999904632568,35.0,40.0,48.00000190734863,43.00000190734863,29.000000953674316,48.00000190734863,40.999999046325684
2005-01-01,95.0,96.00000381469727,91.00000381469727,91.99999809265137,88.99999618530273,86.00000381469727,85.0,81.99999809265137,96.99999809265137,86.00000381469727,86.99999809265137,74.00000095367432,74.00000095367432,64.00000095367432,75.0,65.0,70.0,34.000000953674316,41.99999809265137,50.0,43.00000190734863,30.0,50.0,40.0
2006-01-01,95.0,96.00000381469727,91.00000381469727,91.99999809265137,88.00000190734863,86.99999809265137,86.00000381469727,80.0,96.00000381469727,86.00000381469727,86.00000381469727,73.00000190734863,74.00000095367432,66.99999809265137,74.00000095367432,65.99999904632568,68.00000190734863,37.00000047683716,46.99999809265137,49.000000953674316,44.000000953674316,30.999999046325684,51.99999809265137,40.0
2007-01-01,93.99999618530273,93.99999618530273,90.0,93.00000190734863,86.99999809265137,90.0,83.99999618530273,78.00000190734863,91.99999809265137,83.99999618530273,81.00000381469727,70.99999904632568,75.0,65.0,73.00000190734863,65.0,66.99999809265137,41.99999809265137,48.00000190734863,51.99999809265137,45.999999046325684,37.00000047683716,53.00000190734863,40.999999046325684
2008-01-01,93.00000190734863,90.0,90.0,93.00000190734863,79.00000095367432,88.99999618530273,83.00000190734863,79.00000095367432,88.99999618530273,76.99999809265137,81.00000381469727,73.00000190734863,76.99999809265137,65.99999904632568,69.00000095367432,60.999999046325684,65.0,45.999999046325684,50.0,48.00000190734863,46.99999809265137,37.99999952316284,50.999999046325684,35.999999046325684
2009-01-01,93.00000190734863,88.99999618530273,90.0,91.99999809265137,86.00000381469727,88.99999618530273,81.99999809265137,80.0,86.99999809265137,76.99999809265137,79.00000095367432,70.99999904632568,80.0,65.99999904632568,69.00000095367432,58.00000190734863,60.999999046325684,50.0,45.0,43.00000190734863,37.99999952316284,37.99999952316284,50.999999046325684,37.99999952316284
2010-01-01,93.00000190734863,91.99999809265137,86.99999809265137,91.99999809265137,86.00000381469727,88.00000190734863,85.0,79.00000095367432,85.0,75.99999904632568,79.00000095367432,70.99999904632568,80.0,65.0,68.00000190734863,60.0,60.999999046325684,53.00000190734863,43.00000190734863,39.000000953674316,35.0,37.00000047683716,46.99999809265137,35.999999046325684
2011-01-01,93.92080307006836,94.03926849365234,88.01673889160156,92.98487663269043,89.89853858947754,88.9449691772461,85.0702953338623,80.46143531799316,82.74026870727539,77.75084018707275,77.86902904510498,74.87431049346924,75.36038875579834,63.536109924316406,70.05064010620117,60.97609043121338,62.29599952697754,54.824180603027344,41.94300174713135,39.069130420684814,33.88967037200928,36.121459007263184,45.55448055267334,33.28965902328491
2012-01-01,90.0,90.0,86.0,88.0,85.0,84.0,80.0,79.0,82.0,74.0,69.0,75.0,69.0,64.0,71.0,63.0,65.0,58.0,49.0,42.0,36.0,44.0,55.0,41.0
2013-01-01,91.0,89.0,85.0,89.0,86.0,83.0,80.0,78.0,78.0,76.0,69.0,75.0,72.0,68.0,71.0,62.0,59.0,60.0,53.0,43.0,40.0,43.0,54.0,41.0
2014-01-01,92.0,89.0,86.0,87.0,86.0,83.0,82.0,79.0,79.0,78.0,72.0,76.0,74.0,69.0,69.0,63.0,60.0,61.0,55.0,43.0,43.0,43.0,54.0,43.0
2015-01-01,91.0,90.0,86.0,89.0,88.0,84.0,85.0,81.0,79.0,81.0,76.0,77.0,75.0,70.0,70.0,64.0,58.0,63.0,56.0,44.0,46.0,46.0,51.0,41.0
2016-01-01,90.0,89.0,86.0,88.0,85.0,83.0,81.0,81.0,78.0,81.0,75.0,77.0,73.0,70.0,69.0,62.0,58.0,62.0,57.0,47.0,44.0,48.0,48.0,41.0
2017-01-01,88.0,85.0,85.0,84.0,85.0,82.0,82.0,81.0,77.0,82.0,75.0,75.0,74.0,71.0,70.0,63.0,57.0,60.0,58.0,50.0,48.0,48.0,45.0,43.0
