date,Austria,Belgium,Bulgaria,Switzerland,Cyprus,Czech Republic,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Greece,Croatia,Hungary,Ireland,Iceland,Italy,Liechtenstein,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovak Republic,Slovenia,Sweden
2019-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01,489263141560.108,590957500469.294,156635795106.973,586110741184.413,34697802147.2251,398780149831.938,4524462097074.55,327060213899.194,1859823355262.14,46189738290.827,268065026346.017,3105748565601.54,3015530203489.37,318258948564.402,111138143842.784,291657178201.366,325434657416.832,19514871806.6986,2555355649613.97,,95743837672.3015,43877541657.491,57379060710.4602,18970477590.4081,980234011844.796,363001626122.717,1139817040887.58,336011599692.652,535861487256.414,180088421282.573,77420947580.3332,550245288020.764
2017-01-01,470298846568.345,577433304963.813,150173093130.025,567427828053.227,30728787491.2844,378037051129.972,4412838501715.13,320311725561.574,1811532523431.53,43192606524.7084,257468548977.4,3029679953170.17,2961945567068.79,307963982617.238,107094758143.838,273955184889.7,294054946448.367,18591462282.2833,2507758085827.54,,90716124847.4995,42522310028.1371,54357183682.5401,17839508333.6577,940747805649.969,341753036923.303,1089581446638.8,329692018890.974,508768833844.75,172573528282.663,73333814009.5695,529656322889.439
2016-01-01,452608429064.411,547413588895.833,138633362134.689,541546466635.944,28105641758.2215,348125885411.157,4177975506656.76,297792837721.213,1703402099443.64,39736976808.2844,243105394569.285,2870740552457.27,2787659311339.88,293914047364.1,99280870469.3597,259849549919.673,275448712001.61,16880864403.5238,2382109166402.84,,83815311561.9158,40080661354.2617,50575602839.8837,16004165626.3758,861382557874.013,317190195930.174,1011641270292.15,312752279559.506,457927383912.338,164646665730.209,66801877982.1031,493799644354.864
2015-01-01,426846890617.193,528391165614.716,127919416245.63,542121799886.034,26713761857.6786,331373073380.675,3983765536763.11,287382159288.342,1621139938786.75,37581777179.0502,235365353761.526,2777946957121.9,2705282618272.15,291510428686.154,96137727855.8516,250589735184.109,249135028148.082,15376113336.7176,2226028747655.71,,80707951345.2788,38500383076.5302,48824913952.2686,15255099147.4281,852766433552.616,327034783599.997,983155799784.999,299068874296.756,418649239798.438,156995390879.843,63269913868.7162,484243010173.511
2014-01-01,417609480255.935,514186705056.397,125570609961.756,509076701038.649,24927071188.1656,316710658172.226,3883389666513.64,280163778604.424,1552593080187.63,36991781965.8752,230341376307.58,2719730300347.34,2611439141863.92,294315512120.89,91640765973.0788,241704812304.023,201368611217.265,14240759323.4076,2200447377386.96,,81588223672.8481,37434314552.7056,47389146198.3771,13947928382.6205,828263670286.029,349842613934.341,937591885654.916,292835641286.096,405392396057.786,154769445337.157,63069203941.5599,465812418766.259
2013-01-01,407466618825.439,499349513623.745,117730183198.039,496497257704.326,25872264232.253,301403153675.82,3712581829258.22,270675551874.234,1501976882039.12,35403618516.7603,226606741870.886,2666950863865.02,2510996076220.28,285824079577.244,90578068318.8526,235501990439.515,187172886537.447,13631427233.6515,2183586713124.53,,77165476224.9392,34690043272.6355,45570221790.6118,12659908145.3617,838682680044.001,344244308199.849,908857038270.873,288230115471.542,387063057031.335,149610025166.76,60918129358.2224,452932249986.944
2012-01-01,392030460346.489,480620383220.801,116829002919.851,472965119580.052,27312569435.9114,286391051564.635,3570904139239.83,256181670980.004,1471780320471.5,33031898254.1458,222320431042.548,2528097207038.72,2415126689983.67,281120340956.062,87018293237.0633,219987870432.761,171626952198.593,11766282593.5493,2169728284637.12,,71326513424.6408,33825803107.6655,43009430938.9659,11862318928.1043,805602323121.561,331152578513.979,873340912431.354,271411027125.957,373163303549.911,141334374541.664,58814142549.4361,441172311031.33
2011-01-01,374289188740.567,452655752838.946,111573377338.563,449676395959.064,29092501622.955,279370310382.565,3502470398953.27,252568140433.285,1463308449873.9,30946637998.4363,221315089725.945,2511515271090.53,2360144861851.54,282370859957.681,85949505860.5996,217312698268.979,166937837412.043,11022605832.7629,2167673493812.34,,67086582717.6793,32928110626.5723,40718161792.4694,11513228958.232,788764031504.728,310701643205.307,838395069678.21,278041334782.043,354761282313.91,134396744120.836,58585332628.1712,429144502027.467
2010-01-01,354252259996.343,440708358085.148,108145989420.48,439637085444.547,27325125552.3111,268403859052.561,3249066891896.09,242450184707.942,1454059385239.25,27211610932.9907,211623367105.363,2388529308529.31,2282589039711.01,306635432541.958,82032425213.1172,205914719887.432,165411181538.896,10229377123.8514,2079521851032.73,,61661776427.2107,31304552603.8336,37263160219.0827,10922702218.5833,750559058860.995,286431243846.263,772129450031.829,279049859428.858,338277804966.1,131564298602.343,56246012624.7941,406318851261.387
2009-01-01,341315238549.098,415226929118.109,103337469669.589,408518497645.874,27309424258.7043,267930037450.393,3083919895429.99,225023089962.946,1459708879063.31,26528101753.5309,205288747966.681,2295992415295.05,2163634903821.23,329782253257.55,82969234407.5887,198206648653.355,157804241154.413,10700033108.4016,2044004906868.06,,58465191778.0941,27740237256.596,38785626347.1369,10046578422.8121,729474044118.514,269175461487.219,712241133620.83,270338987023.299,333674337444.989,123364618193.176,55247729111.076,382175651021.111
2008-01-01,346680570770.484,415597849908.875,102780473274.183,375881421641.219,26949463379.0258,270395387186.615,3133424995825.21,229296531979.344,1486151637639.11,28710497105.7967,213338084144.169,2308471504999.58,2244862767229.45,331637075588.565,86870002599.052,194072486578.888,172166895124.872,10807260433.594,2070619017116.37,,64082503156.1784,34990188934.9977,41843403068.0053,10452895795.4743,741916192385.952,293138235484.347,685875316122.792,272098077805.794,336011491107.522,125077405429.544,58273321247.2921,400366853301.737
2007-01-01,326450890545.42,395987261074.102,89548973887.1928,377924536160.99,23585381535.145,251865694517.321,3025660024364.26,213892593685.525,1431073851685.54,27420515302.2847,200507630487.753,2225555314506.8,2172784692445.95,315293003593.82,81555817083.767,177609966438.237,177850339150.471,12073945245.9316,1994764146518.48,,59379807157.0296,34893624479.4315,38694949241.8428,9806477135.54573,718773191673.703,262412431409.036,618483086700.698,263254571065.825,276574212275.463,110380551616.639,54308490827.6873,382544343920.748
2006-01-01,311818314868.547,376869593236.568,83850192576.6362,362758817325.499,21269250117.109,228697026228.795,2858630098237.38,205243068258.734,1337283053798.99,24589142619.2906,182910783946.793,2104837223947.29,2117541174766.32,308462945667.322,73251904984.7267,173654404713.145,165676630536.902,11028043033.0308,1892502452361.07,,52874509649.8103,29989597043.7305,34049617652.4262,9072563907.17065,674915016939.327,252226786011.118,565363690053.952,252079949002.92,236508609925.979,98320841108.7014,50917015256.0063,348814878843.415
2005-01-01,287476798281.967,352001708926.337,78428266854.0298,327059401274.082,19438172686.1818,214084360418.233,2643689105682.11,186566260237.836,1188490567999.29,21499500921.8641,168848220995.197,1959874866060.42,1999826177646.45,281471978035.928,64431187192.9834,161419505675.344,145668071091.729,10526296722.7951,1749401793158.77,,47618024251.7978,29304952011.0148,30655803769.0831,8691938430.87441,605553877381.32,223283670197.81,521089422492.564,235520718575.134,198699781185.12,86800343536.12,47268194743.7862,311479619232.968
2004-01-01,275367030046.229,338464756797.61,71228305678.0182,307426397098.295,17808261019.6854,202339797296.057,2598799352865.35,178074345542.071,1110658314570.69,18679254764.7334,164126196748.171,1845778591186.34,1937436362236.68,275402356623.851,61496252590.2527,154021266734.924,135840159124.082,10025195030.4832,1700502322199.29,,43151554953.7508,26867967158.084,27035438408.9877,8567721529.47152,585811906174.302,195461164599.457,493170877112.912,222138994005.287,184590751482.841,78339548639.5647,44778059215.9873,303979810764.074
2003-01-01,260112151676.933,326729822913.199,65933534135.2215,294963563483.934,16710885856.409,191474672302.247,2440665380798.95,164469983410.812,1046803998389.7,16938221220.577,150386845749.183,1774910975642.51,1828041340701.93,260110749576.068,56395953168.8298,148323502323.011,124853550921.398,9381323150.38087,1663457767849.01,,40192751006.1092,22110800022.7794,25069440828.7692,8300786430.31787,559362955719.681,176973690998.335,463748003006.976,215651801533.093,159111532824.362,72182735695.5029,41639906994.3227,287725101305.723
2002-01-01,250522395607.009,318307798007.558,61830966130.6718,282083618928.972,15854045453.527,179046170022.093,2381368004844.2,162670765274.646,998316071948.184,15237944246.2133,149214583627.633,1781288096300.79,1748086977823.58,246506012516.46,53491146407.9029,139177319914.304,116072235760.394,9390431859.41103,1632366431124.16,,35750867567.4241,22170831121.5512,23263058895.4095,8182936207.15559,554795790258.896,172786645952.789,448875010765.115,208897263871.468,154082359655.958,71203369778.2243,40019698741.2693,275242719220.112
2001-01-01,235710601203.751,301796233368.002,55432698982.1339,276465060981.54,14900227888.6905,174465600018.659,2320706470348.4,155486337804.36,924894337507.208,13620908798.3207,144211730650.491,1717847399039.24,1652794099010.36,229449400332.151,48892437400.4219,126800272759.408,107469355619.18,8781651582.61127,1592973443195.39,,32362212874.9699,22205166172.3317,21141423423.3441,7781765327.41179,530132960173.846,170709729197.097,423263782652.58,198944383569.404,143429404631.531,66560523575.0346,37730889416.6384,265036525989.137
2000-01-01,233330541766.07,292207682538.342,50826796085.9249,273950109496.662,13508172866.5435,163000344162.592,2223802621407.92,149560708541.011,869486109158.547,12666789519.1477,137799584750.612,1614575808393.53,1561039241235.8,212362791183.849,46494622673.8366,114018282831.003,100089405584.551,8062152412.1613,1535889271517.26,,29066595523.4728,21397795484.033,18953983657.9127,7416720178.19982,516730737050.876,163770504415.98,405837268783.226,191117219647.093,130343502107.01,60878240594.602,35721142249.3614,261474456517.053
1999-01-01,217144060110.011,266229271979.969,46705741074.3786,255090619723.591,12726918240.6757,154852048758.376,2143583766804.77,140352133965.559,798571447897.079,,126655558210.026,1499852527655.0,1428013044574.47,196470733424.43,,104096619471.854,88385339901.6503,8038027657.36461,1454355586913.96,,26908748685.2093,19904452032.6222,17498342681.4386,6638070206.32844,469124197198.234,135214378603.276,385161965314.193,180450688875.367,124235976664.568,57405171053.7493,33848076522.2043,241372247713.816
1998-01-01,211484344013.403,254670622714.068,49744634660.8497,245358767554.944,13122145314.8573,151398884221.342,2067560006771.79,134973618726.583,758316151034.212,,119160982753.109,1424216740797.28,1388566585174.65,194242775718.215,,100127722875.139,83445297949.426,7714748064.62303,1416017333336.67,,26937116088.4637,17720345993.565,17097085315.8166,6009619496.88952,433938584484.966,123525517570.192,363710078445.85,169046457559.688,123297444806.734,57226645038.9214,31768260837.126,224232642563.972
1997-01-01,201642441345.598,247477783515.546,45844561962.2691,235496306004.065,11271916296.4393,149838804305.568,2011754561226.08,129349817744.473,708964319466.782,,110333436439.247,1349921697200.29,1321566653215.68,184618009910.114,,94931039925.2943,75129173576.6941,7172597231.35258,1351946685896.88,,24797405154.7708,17314836219.5489,15851726591.9088,5805521830.81513,410112736656.194,124714486340.391,342401422203.424,159374862759.042,124342642441.465,54245116146.9063,30333953308.8268,213691971055.284
1996-01-01,195118565323.226,236080396383.282,54851349982.0427,221767793233.716,10886137973.0507,148436012150.736,1970151273599.66,122348439664.902,666916969078.494,,100490670018.37,1285477708043.67,1231494715546.82,173728356463.99,,91957983854.3385,68407100117.3951,6593660509.77474,1296791798703.65,,22737581379.3178,16073148936.5626,14291318539.5349,5210042623.09868,386631255599.642,116072791962.736,316683708890.718,150859616689.901,128709252814.858,50681554363.5418,28492292792.0235,205716052277.876
1995-01-01,187336108298.167,232172495858.135,63112726891.5898,215620818233.122,10548696717.4458,140986313422.543,1919102208571.78,116454014382.062,640714985840.979,,96970507861.597,1239359733624.53,1155567290840.06,167049495036.051,,90719990617.3759,62424738032.2564,6293664193.33043,1255612732457.12,,21462393304.8969,15323371365.0988,13745961439.8637,4929657283.71051,367429658279.03,104765238795.857,291679218774.005,145340145597.569,122172290579.448,46591572287.3403,27210071451.8283,197946834016.259
1994-01-01,179687912237.276,222658940605.692,60284657801.1133,208414362558.503,9971110376.70116,131138515520.808,1853069787013.74,110246030732.399,602834400506.269,,90154399040.8488,1188746663345.91,1173342767465.37,160213005481.951,,88959925533.6958,56720769127.2246,6139653607.37381,1191220808406.58,,,13750355846.973,,4575106923.78712,346222925545.112,98066949290.1316,268483971804.56,135846723742.1,112885236820.02,,,185552914851.182
1993-01-01,172014051908.931,209565971911.735,58091828511.7336,203169256382.136,9229451815.39327,124764880653.972,1777415195686.98,102205491898.74,584119877780.759,,84273997491.4077,1138859641897.75,1087909816320.7,153733193648.038,,84952368781.7354,52272105487.9645,5841708730.15911,1143366512477.4,,,13460502909.7837,,4318679248.59221,327036280472.42,90850004356.189,242745189525.024,132297003757.584,106214407595.478,,,171923902077.574
1992-01-01,167102826122.777,204689879714.444,57681588876.7635,197816065045.736,8946821399.51822,120946273126.699,1759867133449.62,99165459881.3787,574245999748.468,,83458633190.2008,1118508988312.44,1037315034898.74,153113747399.88,,,49504681845.5583,5642774643.78227,1124164536004.81,,,12861793253.3113,,4076402633.26878,313238547524.353,86428761549.3735,227160598116.841,131821137539.64,102390385833.05,,,172487985148.378
1991-01-01,159514666873.069,197160513165.355,55556211843.6232,194037850226.839,8003712119.02217,,1689045519674.08,94664859904.7459,556846168974.394,,85549015832.7184,1074998944216.32,998800409286.411,148202271022.756,,,47438205178.9556,5686901506.17,1092156061932.72,,,12415874671.6564,,3857446028.94932,302321475673.836,80699903941.742,218691930079.862,126902921540.004,110181487073.334,,,172777476265.227
1990-01-01,149953369385.443,186570130058.988,60147256868.5239,189258009050.943,7681798207.06889,,1565472749599.75,90453273579.0498,525118791525.555,,88893753729.0279,1029933131220.24,974222173744.275,138470928765.297,,,44833470613.2629,5473031641.69085,1042548838881.65,,,10972756383.0909,,3555655743.4024,284255403053.879,75993656777.885,,117353122227.001,121876835228.503,,,170197096352.569
1989-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
