date,Austria,Belgium,Bulgaria,Switzerland,Cyprus,Czech Republic,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Greece,Croatia,Hungary,Ireland,Iceland,Italy,Liechtenstein,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovak Republic,Slovenia,Sweden
2018-01-01,1.453342,1.171748,0.2718757,2.039621,0.9209022,0.9222081,1.619633,1.871631,1.002136,1.191938,1.984208,1.480526,1.341884,0.3382609,0.4569183,0.4873109,1.420338,1.465655,0.4138835,1.739037,1.072398,1.778221,1.043452,0.968796,1.850466,1.887119,0.6626508,1.208909,-0.2534418,0.7074615,1.125806,1.830975
2017-01-01,1.461261,1.181693,0.2601942,2.056261,0.9199778,1.005325,1.719291,1.796943,1.033854,1.109357,1.936857,1.35209,1.414133,0.3133734,0.5713063,0.5221342,1.290977,1.450544,0.5021274,1.764887,0.965337,1.683147,0.9037945,1.004372,1.851793,1.983223,0.6430409,1.332028,-0.1721281,0.8006557,1.170688,1.837576
2016-01-01,1.511905,1.326213,0.2958971,2.008593,0.9609431,1.036739,1.734568,1.876054,1.115842,1.090857,1.828908,1.405252,1.601618,0.2266778,0.4942868,0.4643016,1.331621,1.385732,0.5347704,1.705849,1.070065,1.692346,1.005264,0.9557845,1.833539,1.869375,0.7065664,1.209821,-0.1690356,0.8940681,1.127259,1.773643
2015-01-01,1.479127,1.438441,0.2086831,1.998052,1.04862,1.046509,1.73683,1.847929,1.174035,1.067978,1.813011,1.436796,1.743745,0.256061,0.5138493,0.497252,1.533082,1.492079,0.4479527,1.689049,1.184934,1.724078,1.089444,0.8504284,1.832507,1.864499,0.7987829,1.220341,-0.0561306,0.8377234,0.9724185,1.815902
2014-01-01,1.572586,1.381594,0.0787379,2.112258,1.140384,1.017593,1.731392,1.819007,1.159705,1.01668,1.998276,1.40317,1.62673,0.3985864,0.6929633,0.5334437,1.597105,1.4914,0.374144,1.705179,0.9826534,1.654433,0.9585503,1.028362,1.817106,1.828457,0.8273836,0.9885908,-0.0259938,0.8762358,1.00516,1.803889
2013-01-01,1.588477,1.607339,0.1573445,1.824577,1.366624,0.89182,1.54252,1.992455,1.154523,0.9747753,2.174288,1.481829,1.495451,0.4592025,0.7011864,0.6549682,1.485336,1.490049,0.4584835,1.754486,0.8317371,1.629902,0.8890268,1.257873,1.783959,1.884967,0.7225148,1.230732,-0.0744246,0.7891342,1.013163,1.909026
2012-01-01,1.575873,1.602476,0.1418881,1.891962,1.391172,0.9289219,1.593369,1.984567,1.120682,0.954538,2.220478,1.340279,1.547542,0.3198002,0.7066917,0.6288418,1.547128,1.491028,0.4206704,1.789564,0.833409,1.672072,0.8384485,1.247961,1.8134,1.909127,0.6756304,1.035028,-0.3119501,0.8363792,1.03165,1.95701
2011-01-01,1.617761,1.656356,0.1100856,1.867497,1.563668,0.9309797,1.554961,2.101079,1.027235,1.076737,2.241138,1.359144,1.558901,0.5121977,0.5612522,0.6749275,1.455905,1.58326,0.3775406,1.770325,0.7037992,1.748484,0.6981383,1.195341,1.788899,1.837559,0.6207488,0.9471941,-0.3289806,0.8325479,0.9895115,1.965064
2010-01-01,1.841763,1.575026,0.1148352,1.876344,1.53183,0.9052177,1.571172,2.09679,0.9947988,1.085701,2.22934,1.430301,1.568379,0.5560393,0.6223207,0.6666696,1.349588,1.585732,0.4419097,1.783509,0.7432536,1.721774,0.70881,1.192727,1.729366,1.878928,0.640949,1.010235,-0.2655292,0.8371224,1.026441,2.004213
2009-01-01,1.66658,1.571342,0.1661583,1.948745,1.418329,0.8832404,1.578987,2.232205,0.9458322,1.009114,2.229059,1.480974,1.512003,0.6194866,0.5968499,0.6731957,1.33617,1.635219,0.421652,1.802307,0.6935584,1.74732,0.6238099,1.173995,1.739726,1.841375,0.5317568,1.156265,-0.3597497,0.8689756,1.154734,2.045359
2008-01-01,1.78084,1.389756,-0.0473091,2.037171,1.532571,1.013642,1.522836,2.251272,0.9203469,1.161841,2.050841,1.582908,1.643775,0.5852923,0.5699982,0.707319,1.500238,1.83181,0.2796266,1.795092,0.6169906,1.625627,0.5584953,1.279612,1.696206,1.84209,0.4732433,1.085485,-0.3241724,0.864835,1.187827,1.956433
2007-01-01,1.870187,1.60886,-0.0075428,2.042494,1.427616,0.8953341,1.637844,2.353998,0.9933218,1.037318,1.974782,1.471042,1.648174,0.5579451,0.4742114,0.7084755,1.560755,1.795479,0.1976259,1.763524,0.7018702,1.592555,0.4800134,1.20634,1.728333,2.024723,0.3872338,0.9007416,-0.3190752,0.7320563,0.936191,2.025398
2006-01-01,1.831036,1.747101,-0.0573758,2.078077,1.267324,1.09646,1.650243,2.22626,0.8372024,1.157151,2.170114,1.632802,1.670994,0.636948,0.5713952,0.8729004,1.536329,1.893597,0.3647408,1.800742,0.7263384,1.571362,0.6851262,1.025022,1.788718,1.879103,0.3737843,0.8745383,-0.2101832,0.8825375,0.96356,1.804315
2005-01-01,1.684595,1.711561,0.1818574,1.851264,1.157761,0.9252368,1.505681,2.119752,1.50673,0.9649968,2.129372,1.671527,1.766596,0.715305,0.4607839,0.7717035,1.735597,1.973407,0.5618377,1.558452,0.7792079,1.777105,0.5684978,0.8227611,1.942671,1.864108,0.4783568,1.056517,-0.3068253,0.9271799,0.8928185,1.892862
2004-01-01,1.865303,1.875864,0.1505233,2.180724,1.127475,0.864375,1.487871,2.309707,1.3527,0.924236,2.169805,1.776973,1.889605,0.8052155,0.4415614,0.8630024,1.540083,2.074324,0.6471076,1.722658,0.7121693,1.898921,0.6106073,0.7983966,2.09252,2.080887,0.4659075,1.064095,-0.2056146,0.873967,0.9227307,2.12182
2003-01-01,1.995846,1.933774,0.114253,1.817973,1.183419,0.8982299,1.41907,2.154386,1.881454,0.9419677,2.261099,1.714666,1.810524,0.7612695,0.3699,0.9579552,1.559119,2.106059,0.8015524,1.669755,0.7632465,1.920923,0.6452475,0.937748,2.020344,1.89888,0.5459217,1.166833,-0.2584385,0.7055912,1.080824,2.082848
2002-01-01,1.942698,1.97801,0.2487509,2.000211,1.350596,0.968913,1.719772,2.088286,1.84743,0.7357646,2.161537,1.602407,1.840956,0.8249017,0.3530358,1.050705,1.630157,2.020225,0.8018304,1.693717,0.5597879,2.038897,0.5530607,1.102384,1.99657,1.895618,0.5051503,1.205846,-0.2003612,0.6015927,0.9180992,2.026078
2000-01-01,1.929282,1.734676,0.0029948,2.042147,1.130084,0.649403,1.885063,1.980277,1.762162,0.7378457,2.118074,1.71177,1.848113,0.6252663,0.3321905,0.9825234,1.665905,2.030386,0.7656862,1.708994,0.1445975,1.973986,0.3294605,1.10484,2.070121,1.897057,0.6061649,1.023967,-0.3731693,0.6055269,0.7519338,1.962457
1998-01-01,1.87274,1.83851,-0.2018884,1.978873,1.249063,0.6289971,1.881973,1.982808,1.661105,0.5744918,2.022946,1.513518,1.932944,0.7780467,0.0742144,0.9870427,1.804321,1.914617,0.8726358,1.719049,0.3136699,2.036945,0.2305293,0.9378154,2.078732,1.984174,0.6851199,1.162669,-0.5690975,0.5401694,0.8256007,1.95586
1996-01-01,1.73165,1.711544,-0.0425848,1.757081,1.171664,0.620583,1.724677,1.759048,1.620027,0.6115038,1.724996,1.251857,1.882196,0.8375552,0.102206,0.8632687,1.67032,1.860767,0.8403255,1.670409,0.5274739,1.959735,0.4854589,0.9272897,1.942935,1.950876,0.6811826,1.27419,-0.2869339,0.4598627,0.8871602,1.921917
