date,Austria,Belgium,Bulgaria,Switzerland,Cyprus,Czech Republic,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Greece,Croatia,Hungary,Ireland,Iceland,Italy,Liechtenstein,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovak Republic,Slovenia,Sweden
2018-01-01,0.9175232,0.412356,0.4196386,1.344863,0.543319,1.040143,0.6048951,0.9590668,0.2548025,0.5999668,0.9249202,0.1091348,0.0487175,0.0925857,0.7688776,0.7552119,1.030591,1.412426,0.3111933,1.484191,0.752799,1.373404,0.4215345,1.294193,0.8682934,1.153804,0.5450124,1.140031,0.0593082,0.7504383,0.9109183,0.9136876
2017-01-01,1.046604,0.4280707,0.3319523,1.256539,0.5377303,0.9998168,0.5875772,0.8682193,0.2827956,0.6496198,1.080675,0.2789897,0.3315471,-0.0735961,0.6918686,0.8063788,1.002215,1.348026,0.3067282,1.481056,0.7756186,1.325734,0.4620957,1.24914,0.9209073,1.170228,0.5182467,1.118346,0.056355,0.9097863,0.8732033,0.9842001
2016-01-01,0.9096388,0.4413673,0.0773333,1.30629,0.6042547,0.9761155,0.6813634,0.8679155,0.4131883,0.6739078,0.9990865,-0.0953591,0.3604541,-0.1215992,0.6637695,0.6546786,0.8478189,1.361624,0.3694153,1.477927,0.82828,1.419485,0.4790692,1.080441,0.9122675,1.200074,0.507242,0.9740514,0.2771966,0.7211707,0.990436,1.017941
2015-01-01,1.143079,0.5870946,0.0173222,1.339359,0.5508665,0.9791891,0.6998243,0.8976498,0.2514912,0.6209198,1.040587,0.1067064,0.5177479,-0.2302524,0.590728,0.7462977,0.9084555,1.308164,0.3759197,1.45784,0.759794,1.439398,0.4437472,1.063939,0.9261193,1.161716,0.8748524,0.9178401,0.1891144,0.8745452,0.9533927,0.9471064
2014-01-01,1.2707,0.7012694,0.0785409,1.402653,0.5518821,0.9899905,0.9251865,0.9517797,0.2431217,0.7802579,1.282197,0.3005685,0.4153476,-0.140446,0.6191124,0.6699048,1.052991,1.246975,0.4581654,1.458862,0.7421364,1.378324,0.4872684,1.125497,1.045115,1.119959,0.8429408,0.8062744,0.0491361,1.039121,0.9657734,1.065415
2013-01-01,1.364101,0.9400827,0.1707104,1.40114,0.5633472,1.084779,0.9279839,0.9592335,0.0120178,0.7482154,1.385172,0.4487441,0.4862014,-0.1713417,0.6426679,0.7966461,0.9010757,1.287134,0.4954992,1.397172,0.9645323,1.335248,0.5936353,1.042758,1.143815,1.352092,0.973355,0.7487634,0.1791331,1.119518,0.8822517,1.127778
2012-01-01,1.340567,0.9235997,0.379834,1.418336,0.6351261,1.054106,0.7756213,0.9149107,-0.0295164,0.6364652,1.400765,0.5549415,0.4022707,-0.2172487,0.6068915,0.6757948,0.9410727,1.245032,0.5082175,1.3892,0.7862099,1.331919,0.4536267,1.065075,1.187465,1.32747,1.049479,0.7752726,0.0823416,1.088401,0.9351107,1.170597
2011-01-01,1.193522,0.9545354,0.3017503,1.300342,0.6079845,1.109118,0.8422185,1.100293,0.0211045,0.6110413,1.393471,0.6029928,0.3517076,-0.0986952,0.6237471,0.7432541,0.9489989,1.24401,0.5012074,1.49058,0.6712003,1.317427,0.3200021,1.063937,1.113631,1.337977,1.072063,0.7417393,0.1860907,0.9747573,0.9692097,1.230688
2010-01-01,1.152648,0.8106462,0.3600911,1.258594,0.4524448,0.9892337,0.7968345,1.040961,-0.3180437,0.661367,1.423607,0.6810876,0.4118182,-0.1272069,0.6084636,0.6857837,1.020165,1.022254,0.4739237,1.544087,0.7152606,1.461219,0.527854,1.253456,0.9407501,1.332312,1.01733,0.717687,0.2736004,1.053317,0.8665088,1.09417
2009-01-01,1.190602,0.819909,0.353604,1.307553,0.3891754,0.9050642,0.8605308,1.000632,-0.4737767,0.5657759,1.459815,0.5117519,0.1215835,-0.2077363,0.6115873,0.5356742,1.056545,1.190854,0.3482109,1.553991,0.6312088,1.450533,0.3484597,1.248981,0.9449179,1.27541,0.9380806,0.7876344,0.3602153,0.9190537,0.9348058,1.085468
2008-01-01,1.339206,0.6212433,0.3706311,1.223261,0.6396841,1.049845,0.9458345,1.065299,-0.3808494,0.5707842,1.445845,0.54572,0.4946935,0.2700586,0.5717462,0.7502059,1.18624,1.215352,0.5492006,1.337765,0.7462569,1.512313,0.2045949,1.272665,0.8650271,1.28515,0.9104813,0.9884541,0.1799604,1.08077,1.147953,1.129976
2007-01-01,1.283752,0.7574292,0.3582801,1.234161,0.5371549,1.015041,0.9960085,1.117682,-0.2753482,0.6338796,1.487837,0.5636244,0.5753913,0.5241894,0.6047199,0.747174,1.214467,1.484785,0.4476521,1.340644,0.8172772,1.482909,0.5622184,1.268684,0.7785201,1.145414,0.6827373,0.8218185,0.1983791,1.035826,1.097749,1.271177
