year,Austria,Belgium,Bulgaria,Switzerland,Cyprus,Czech Republic,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Greece,Croatia,Hungary,Ireland,Iceland,Italy,Liechtenstein,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovak Republic,Slovenia,Sweden
2019-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01,3.15743,2.59448,0.75239,,0.55322,1.79079,3.02233,3.05583,1.20482,1.28867,2.7569,2.18547,1.66381,1.12808,0.8645,1.3486,1.04038,2.12724,1.35206,,0.88544,1.25607,0.51012,0.5402,1.98816,2.10968,1.03445,1.31682,0.5039,0.88267,1.86311,3.32707
2016-01-01,3.12523,2.54569,0.78006,,0.53442,1.68015,2.91712,3.11868,1.18526,1.2468,2.74264,2.24245,1.68211,0.99394,0.8627,1.20423,1.16892,2.03413,1.37124,,0.84329,1.29524,0.44094,0.56749,1.99685,2.03074,0.9641,1.28081,0.48033,0.78895,2.01191,3.26923
2015-01-01,3.04979,2.46123,0.96015,3.3716,0.48059,1.92923,2.91197,3.05497,1.21832,1.46604,2.89157,2.26703,1.66818,0.96121,0.84027,1.36245,1.19201,2.12004,1.34115,,1.04095,1.28405,0.62623,0.74085,1.98487,1.93095,1.00325,1.24263,0.48793,1.17171,2.19504,3.26418
2014-01-01,3.08429,2.38729,0.79377,,0.50835,1.97285,2.86691,2.91404,1.23535,1.42931,3.16931,2.27592,1.65915,0.8333,0.78252,1.35373,1.49955,1.94811,1.34301,,1.03048,1.26404,0.6893,0.71197,1.97568,1.71187,0.93978,1.28973,0.38225,0.88008,2.36743,3.14261
2013-01-01,2.95492,2.33393,0.63724,,0.48218,1.89973,2.82105,2.97048,1.26859,1.72216,3.28719,2.23703,1.63938,0.81131,0.81016,1.38884,1.5658,1.70204,1.30768,,0.95088,1.30266,0.6122,0.77238,1.92987,1.65004,0.87053,1.32641,0.38787,0.82362,2.5801,3.30252
2012-01-01,2.91472,2.27334,0.60479,3.18623,0.43778,1.78231,2.86813,2.98125,1.28788,2.12265,3.41948,2.22707,1.59382,0.69957,0.75029,1.26362,1.56119,,1.27087,,0.89469,1.27267,0.66424,0.82618,1.91627,1.61858,0.88086,1.37777,0.48383,0.80495,2.57319,3.27772
2011-01-01,2.66868,2.15533,0.53191,,0.45554,1.55571,2.79562,2.94465,1.32508,2.30655,3.63881,2.19161,1.66488,0.67196,0.75041,1.18897,1.56058,2.41367,1.20984,,0.9039,1.46277,0.69662,0.6738,1.88131,1.62534,0.74588,1.45683,0.49832,0.66326,2.42358,3.24522
2010-01-01,2.7261,2.05081,0.56387,,0.44663,1.33688,2.71367,2.91707,1.34961,1.58162,3.72598,2.17857,1.66063,0.59838,0.7422,1.13945,1.59153,,1.22311,,0.78348,1.50257,0.61078,0.60667,1.70404,1.64855,0.7207,1.53257,0.45688,0.61614,2.05763,3.21262
