date,Austria,Belgium,Bulgaria,Switzerland,Cyprus,Czech Republic,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Greece,Croatia,Hungary,Ireland,Iceland,Italy,Liechtenstein,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovak Republic,Slovenia,Sweden
2019-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-01,6435.49133689259,1070.56284931016,2907.00169353613,4933.65877570281,676.915867168279,1249.36498530642,1321.27311456179,1063.17472833671,2392.38145265832,9668.74469873607,19591.6442186706,3015.85889399407,2244.12488106138,5324.80727640423,8894.88907223948,608.120352693588,10520.123493368,519264.721154845,3002.18098166877,,5272.19137304437,1797.52983450143,8496.41535533975,116.210034103618,652.238054082156,74359.1101200024,1410.0908574681,3653.47307803761,2128.6877644504,2325.30285685602,9054.40401943763,17635.9385361759
2013-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-01,6524.32487768967,1080.40636244104,2874.39391351195,5051.9822715438,687.196818454935,1251.09589816555,1330.41846522354,1073.04350189893,2377.43718044502,9609.16189358704,19763.6817781255,3046.00337780453,2276.28441310323,5251.23967735297,8834.09200296751,604.816638747659,10653.2554500642,530063.981840632,3065.18084390626,,5174.42255485942,1883.43070670087,8327.11093982802,120.230079899435,656.521930637623,76117.2548451522,1408.18561483748,3613.93854250239,2112.86898243023,2330.06304669798,9075.62322601219,17963.3660784837
2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
