date,Austria,Belgium,Bulgaria,Switzerland,Cyprus,Czech Republic,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Greece,Croatia,Hungary,Ireland,Iceland,Italy,Liechtenstein,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovak Republic,Slovenia,Sweden
2018-01-01,1.875834,1.3679,-0.029567,1.931222,0.7534632,1.04966,1.630446,1.833378,0.9689376,1.240627,2.046279,1.440087,1.638637,0.1529743,0.324786,0.555392,1.464224,1.719734,0.2467615,1.678037,0.9573604,1.810886,0.9569856,1.053974,1.816361,1.965631,0.4278919,1.140912,0.3254628,0.5290585,1.058505,1.895983
2017-01-01,1.812473,1.343427,-0.040923,1.927894,0.8849497,1.116695,1.608339,1.863846,1.00847,1.281881,2.027073,1.438318,1.679469,0.0839193,0.3342483,0.529677,1.427983,1.606576,0.3246247,1.674109,0.9926504,1.737713,0.9313785,1.14362,1.830023,2.020279,0.4725602,1.132149,0.3875409,0.5712293,1.023465,1.936157
2016-01-01,1.814967,1.390965,-0.0614716,1.947542,0.721344,1.035502,1.622016,1.912385,0.9788248,1.226358,2.015214,1.413082,1.691507,0.1073458,0.4091761,0.4230584,1.517244,1.519545,0.3291599,1.688664,1.029358,1.760356,0.9589826,0.9977589,1.89441,2.036334,0.636218,1.097242,0.3609889,0.6468015,1.082672,2.019034
2015-01-01,1.855247,1.463494,-0.0970044,1.945174,1.039911,1.148088,1.794997,2.042371,0.901592,1.33191,2.063105,1.413305,1.81306,0.2671453,0.2003541,0.399936,1.774898,1.66733,0.275051,1.685901,1.008047,1.874649,0.7945901,1.135586,1.944192,2.011147,0.8020585,1.146595,0.1575437,0.5038067,0.9745702,2.037792
2014-01-01,1.952464,1.523439,-0.0460172,1.994928,1.077018,1.152181,1.856834,2.096355,0.9526442,1.372891,2.100273,1.474639,1.889571,0.3625999,0.3196851,0.5019311,1.779153,1.708532,0.3773912,1.743713,0.9391773,1.906488,0.8723829,1.19364,1.980403,2.029048,0.840596,1.137531,0.165362,0.4960261,1.001514,1.992006
2013-01-01,1.851382,1.438435,-0.1024054,1.804692,1.036581,1.039771,1.6495,1.900482,1.020516,1.19848,1.936688,1.426773,1.705038,0.4650219,0.2916495,0.5826928,1.731723,1.662148,0.4029013,1.585438,0.8360037,1.816299,0.7678499,1.333084,1.835081,1.98001,0.8194907,1.058802,0.125016,0.4785463,1.000792,1.972878
2012-01-01,1.858179,1.427129,-0.085205,1.819054,1.09963,1.041853,1.664948,1.8739,1.064827,1.157107,1.951503,1.454164,1.718676,0.4265072,0.2456077,0.6152842,1.734317,1.685005,0.4033195,1.601889,0.8504152,1.798904,0.7854767,1.344982,1.861233,1.958513,0.7804115,1.065502,0.0421296,0.4923032,1.014999,1.951555
2011-01-01,1.801555,1.418426,-0.1117412,1.73154,1.07301,1.036918,1.616171,1.922708,1.198052,1.183798,1.949499,1.446996,1.650691,0.5728871,0.217893,0.764692,1.755929,1.697878,0.4665138,1.619368,0.7749577,1.83319,0.7470232,1.286829,1.822074,1.873944,0.766174,1.023857,0.0569546,0.6070484,1.052852,1.941077
2010-01-01,1.8003,1.393128,-0.0692405,1.757034,1.216249,0.9494792,1.631237,1.897532,1.188944,1.159709,1.968725,1.519731,1.764103,0.6305012,0.2019465,0.7802678,1.768064,1.713807,0.4303287,1.623811,0.7823634,1.851443,0.7878038,1.416975,1.819352,1.897269,0.6835747,1.056598,0.0482135,0.571119,1.008394,1.955097
2009-01-01,1.78489,1.384073,-0.0383404,1.750544,1.212835,0.9625925,1.655951,1.924757,1.162589,1.131253,1.970258,1.452676,1.738985,0.6528149,0.1621467,0.7964902,1.750502,1.714271,0.4047396,1.618515,0.7280318,1.827186,0.8143532,1.480706,1.814506,1.881072,0.6284057,1.064921,0.0454078,0.5397606,1.075426,1.965965
2008-01-01,1.922995,1.345495,-0.1072635,1.816634,1.216479,0.914494,1.745706,1.966503,1.193509,1.199121,1.922676,1.507125,1.708199,0.8622125,0.0863836,0.9260617,1.715704,1.865286,0.4551162,1.43109,0.7224829,1.801214,0.8092072,1.62492,1.761363,1.970247,0.5465031,1.020404,-0.0136101,0.5902709,1.008982,1.931482
2007-01-01,1.960128,1.330672,-0.0459552,1.8457,1.119864,0.9059033,1.772996,2.01373,1.168316,1.173005,1.914936,1.472339,1.737427,0.8723755,0.0876414,0.9641744,1.745495,1.845549,0.4787489,1.41055,0.7266968,1.765278,0.7592566,1.629644,1.78735,1.946529,0.4286534,1.016893,-0.09074,0.4927937,0.9238243,1.90989
2006-01-01,1.913557,1.23609,-0.0935352,1.817233,1.105021,0.8726435,1.783433,1.997572,1.131011,1.1409,1.973505,1.474472,1.785749,0.8736634,0.0060766,0.9977335,1.722037,1.895821,0.3876202,1.07046,0.7163033,1.699838,0.669318,1.568244,1.783092,1.979785,0.404506,0.98591,-0.1178744,0.5467787,0.9102269,1.864799
