date,Austria,Belgium,Bulgaria,Switzerland,Cyprus,Czech Republic,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Greece,Croatia,Hungary,Ireland,Iceland,Italy,Liechtenstein,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovak Republic,Slovenia,Sweden
2019-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01,687361.75992,1186830.0,485586.0,608845.0,55212.0,772457.0,7028712.57263,534080.0,3332678.0,82646.0,543436.0,6058330.0,6386316.62334,667797.0,339838.0,807705.0,392294.0,35161.0,4601869.0,3240.0,242640.0,48211.0,117360.0,30760.0,1650379.0,447525.0,2407618.0,769977.0,1502438.0,441619.0,147920.0,916224.0
2016-01-01,687126.0273,1196383.0,487087.0,609783.0,55711.0,765502.0,7073163.77695,540622.0,3329389.0,80212.0,539816.0,6016608.0,,662446.0,349018.0,808744.0,360088.0,35651.0,4589550.0,3272.0,250870.0,47715.0,116471.0,28776.0,1611016.0,444851.0,2462928.0,766052.0,1515238.0,446922.0,148896.0,856094.0
2015-01-01,691071.25202,1217912.0,501398.0,614470.0,57161.0,770437.0,7112949.29621,553263.0,3313127.0,77910.0,540067.0,5982868.0,6374674.79974,662741.0,360205.0,826626.0,354670.0,36818.0,4606017.0,3349.0,263242.0,47027.0,117761.0,29434.0,1613497.0,443491.0,2548405.0,778589.0,1562960.0,454032.0,143247.0,844112.0
2014-01-01,697388.41667,1210112.0,518914.0,,58634.0,781392.0,7201072.05924,553791.0,3288424.0,77873.0,536925.0,5947212.0,6556991.65909,667718.0,370356.0,857807.0,348116.0,37530.0,4596916.0,3387.0,277349.0,46872.0,121580.0,30230.0,,439250.0,2641287.0,768631.0,1609259.0,464957.0,145179.0,826694.0
2013-01-01,706501.60833,1206574.0,519569.0,617000.0,60793.0,801314.0,7289386.58066,555278.0,3296359.0,80840.0,541021.0,5913849.0,6496973.0,694933.0,379102.0,890759.0,,38238.0,4594302.0,,294274.0,46256.0,126942.0,30989.0,,442563.0,2777727.0,798925.0,1669005.0,481574.0,147563.0,838671.0
2012-01-01,709910.0,1191573.0,503786.0,606162.0,61801.0,777216.0,7392963.0,527851.0,3296129.0,85183.0,415505.0,5920216.0,4849275.0,692957.0,380753.0,864391.0,340829.0,36127.0,4572722.0,3277.0,304753.0,44237.0,124802.0,31768.0,1550175.0,432546.0,2611081.0,734003.0,1714307.0,509791.0,132221.0,675782.0
2011-01-01,723523.0,1190846.0,523355.0,605000.0,62894.0,805253.0,7528270.0,519115.0,3248018.0,90717.0,422872.0,5888388.0,5000332.0,692302.0,384008.0,882609.0,331047.0,35217.0,4630305.0,3298.0,325215.0,43177.0,136448.0,32227.0,1538898.0,437010.0,2726279.0,725804.0,1777771.0,530300.0,134861.0,698968.0
2010-01-01,743709.0,1202775.0,531980.0,605184.0,63662.0,836847.0,7663755.0,504205.0,3185008.0,95331.0,426710.0,5873103.0,5538230.0,716601.0,388515.0,904848.0,336464.0,35623.0,4626426.0,3274.0,342905.0,42536.0,147375.0,37163.0,1474983.0,435085.0,2841629.0,720688.0,1821782.0,549760.0,138354.0,731273.0
