date,Austria,Belgium,Bulgaria,Switzerland,Cyprus,Czech Republic,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Greece,Croatia,Hungary,Ireland,Iceland,Italy,Liechtenstein,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovak Republic,Slovenia,Sweden
2018-01-01,1.380672,1.397253,0.3233821,1.616422,1.038081,0.930312,1.422362,1.611797,1.064253,1.21297,1.612387,1.179415,1.383976,0.8573366,0.5019643,0.3183424,1.31875,1.412682,1.045518,1.319968,0.9233596,1.566906,0.8133246,1.123317,1.596444,1.732547,0.7238377,1.204607,0.4577805,0.878241,0.9910611,1.611055
2017-01-01,1.342785,1.384985,0.3787741,1.555488,1.055163,0.9715869,1.389157,1.515539,1.026823,1.213267,1.553089,1.148534,1.332299,0.7086233,0.5114164,0.365919,1.293333,1.377903,1.053589,1.277913,0.9854785,1.520515,0.7965319,1.169982,1.569387,1.692235,0.7812342,1.207646,0.5175482,0.9359443,1.004898,1.57698
2016-01-01,1.337417,1.376962,0.4011085,1.531788,1.046577,1.024769,1.36378,1.541357,1.041046,1.207984,1.531729,1.135574,1.294636,0.6684951,0.5245169,0.4012523,1.290975,1.356051,1.033993,1.250291,0.9999698,1.500211,0.8424898,1.196308,1.540276,1.664255,0.8434905,1.15696,0.5397747,0.9607725,1.010171,1.563904
2015-01-01,1.383533,1.38744,0.4325731,1.558501,1.031584,1.042761,1.421997,1.552826,1.044831,1.186864,1.543586,1.206641,1.297837,0.6515437,0.5555071,0.5599743,1.334674,1.376502,1.034772,1.38767,0.97391,1.54681,0.8465344,1.202808,1.561143,1.687913,1.039736,1.128678,0.4861361,0.9654341,0.9868262,1.56531
2014-01-01,1.391321,1.366339,0.366463,1.559489,1.01997,1.026667,1.43633,1.524577,0.9937256,1.17031,1.541917,1.21816,1.27579,0.6187572,0.5149403,0.5532663,1.317501,1.357325,0.9992626,1.395747,0.9615911,1.554682,0.8494349,1.184266,1.547281,1.684087,1.105113,1.107446,0.4281268,0.9595861,0.9561069,1.611089
2013-01-01,1.456567,1.373046,0.3372708,1.628098,0.9808227,0.9845335,1.406184,1.666271,0.9888706,1.116849,1.573706,1.219247,1.329037,0.6872375,0.5137413,0.7371929,1.311735,1.439569,0.9542174,1.486974,0.9400197,1.631096,0.7704234,1.156572,1.566973,1.737975,0.9981389,1.066935,0.3115235,0.9595503,1.001897,1.65811
2012-01-01,1.448773,1.349422,0.4009156,1.640122,1.022024,0.9703797,1.393738,1.674114,1.064179,1.111925,1.600697,1.238106,1.339133,0.7007905,0.5408306,0.7493677,1.322521,1.44295,0.9168093,1.50603,0.9295096,1.649901,0.7755156,1.165388,1.605585,1.728163,1.064276,1.028528,0.3185296,0.9730169,0.9997781,1.690358
2011-01-01,1.402444,1.325163,0.4500802,1.584808,1.053583,1.022664,1.349211,1.551707,1.085866,1.133726,1.507551,1.170668,1.297412,0.820455,0.5210824,0.8369731,1.305361,1.41073,0.9118239,1.563959,0.8605259,1.604539,0.7367753,1.143347,1.537048,1.626358,1.027628,1.107911,0.3761372,0.965979,1.056918,1.612955
2010-01-01,1.430291,1.360687,0.5314857,1.584912,1.023391,1.014818,1.297783,1.541957,1.122543,1.105652,1.486713,1.202857,1.289994,0.8977181,0.4764283,0.8942028,1.324432,1.445753,0.9627974,1.586912,0.9156346,1.574836,0.7942439,1.167213,1.450569,1.595088,1.037602,1.107203,0.432124,0.910907,1.048638,1.542726
2009-01-01,1.392846,1.346693,0.5604841,1.553312,1.068028,1.033045,1.334962,1.538261,1.176973,1.085522,1.465268,1.244509,1.303301,0.8914437,0.4862779,0.909685,1.353574,1.415215,1.03418,1.545567,0.9021598,1.555082,0.8499379,1.152722,1.464389,1.54888,1.026881,1.128243,0.4642873,0.8762503,1.055124,1.546039
2008-01-01,1.358464,1.324988,0.5779763,1.51683,1.084034,1.032759,1.336778,1.538306,1.185326,1.091653,1.463081,1.304794,1.321023,0.9282115,0.4678069,0.9657084,1.42259,1.42565,1.032024,1.317131,0.8496562,1.545579,0.7807863,1.249736,1.483086,1.548039,0.9534822,1.201864,0.5141512,0.9354531,1.017365,1.520167
2007-01-01,1.369262,1.360771,0.6909354,1.503815,1.066656,0.9952838,1.336478,1.477704,1.123087,1.073011,1.460227,1.259767,1.335596,0.9838739,0.517976,1.041056,1.397142,1.431,1.111907,1.297656,0.8865519,1.537699,0.8289153,1.242635,1.523433,1.549855,0.8795024,1.231421,0.4989977,0.9474362,1.062971,1.510136
2006-01-01,1.372685,1.342394,0.5771172,1.518006,1.052067,0.9622927,1.365231,1.571636,1.078725,1.068222,1.494072,1.298723,1.378774,0.9654828,0.4814937,1.015041,1.396541,1.445337,1.064524,1.244855,0.8612876,1.547201,0.8466991,1.203782,1.539821,1.54218,0.8035325,1.232662,0.5179734,0.9311233,1.069615,1.485718
2005-01-01,1.378657,1.420762,0.5948927,1.586438,0.9558727,0.9056726,1.485834,1.739609,1.131404,0.9921685,1.687097,1.476771,1.443956,1.097569,0.4526123,1.175189,1.623855,1.568608,1.057029,1.532292,0.9021329,1.581918,0.7818131,1.233854,1.66602,1.640593,0.9443723,1.430305,0.4089088,0.8999568,1.09229,1.584473
2004-01-01,1.475651,1.440266,0.5696902,1.692534,0.9500313,0.9544613,1.49604,1.800992,1.323612,1.093419,1.783608,1.456458,1.597446,1.191415,0.6583207,1.149414,1.477552,1.628328,1.177168,1.452216,0.8824941,1.668277,0.7005356,1.372729,1.696608,1.704209,1.016628,1.464911,0.3677662,0.947525,1.112389,1.739247
