year,Austria,Belgium,Bulgaria,Cyprus,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Malta,Norway,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,Switzerland,United Kingdom
2005-01-01,72148.0,77000.0,,,26800.0,,50000.0,475000.0,631000.0,308000.0,32950.0,,790000.0,,,,28500.0,70000.0,106700.0,,,,680873.0,108300.0,164900.0,240000.0
2006-01-01,76180.0,77500.0,,,28040.0,,50710.0,485000.0,650000.0,317000.0,33760.0,,850000.0,,,,29390.0,72644.0,110500.0,,,,711160.0,101799.0,170670.0,249600.0
2007-01-01,79147.0,78000.0,,,29110.0,,51600.0,495000.0,660000.0,325000.0,34249.0,,870000.0,,,,35300.0,72670.0,130000.0,,,,745736.0,103623.0,178000.0,255000.0
2008-01-01,82300.0,78300.0,81000.0,,30000.0,,52495.0,500000.0,670000.0,400000.0,35288.0,,885000.0,,,,35900.0,76120.0,140000.0,29847.0,41396.0,9340.0,779572.0,103933.0,184000.0,267750.0
2009-01-01,85200.0,85000.0,82300.0,,30000.0,4440.0,53695.0,500000.0,680000.0,405000.0,36000.0,,900000.0,6460.0,8000.0,,36500.0,80776.0,143000.0,30936.0,42016.0,9500.0,802962.0,10325.0,189000.0,270000.0
2010-01-01,88280.0,87711.0,83100.0,,31500.0,4500.0,54700.0,520000.0,690000.0,409000.0,36800.0,,915000.0,6500.0,8000.0,10500.0,36800.0,83937.0,145000.0,43000.0,41800.0,9775.0,833533.0,107425.0,192000.0,272700.0
2011-01-01,88280.0,88000.0,84000.0,,31500.0,4600.0,56000.0,520000.0,650000.0,411900.0,37300.0,,915000.0,5770.0,8100.0,,37700.0,87488.0,147000.0,43500.0,41800.0,10195.0,857283.0,109575.0,198000.0,274900.0
2012-01-01,103500.0,90000.0,84000.0,18500.0,35000.0,4600.0,57500.0,527000.0,657000.0,415100.0,37300.0,30000.0,932000.0,5770.0,8400.0,,38500.0,91348.0,148500.0,43500.0,41800.0,10195.0,1014953.0,111400.0,203000.0,277600.0
2013-01-01,107000.0,92500.0,84000.0,19000.0,35800.0,4900.0,58500.0,535000.0,690000.0,415100.0,36430.0,30000.0,940000.0,6000.0,8500.0,,38800.0,96544.0,149400.0,44000.0,41800.0,10195.0,1021953.0,113220.0,220000.0,280000.0
2014-01-01,110300.0,95845.0,84000.0,19000.0,36800.0,5050.0,59900.0,545000.0,704900.0,416200.0,36950.0,30000.0,946000.0,6150.0,8580.0,,37050.0,98810.0,150000.0,44000.0,45000.0,10195.0,1030312.0,115189.0,232000.0,284000.0
2015-01-01,112871.1,99645.0,84000.0,19106.4,37810.0,5170.0,61300.0,550000.0,720000.0,417255.0,37500.0,30000.0,951000.0,6210.0,8640.0,,37950.0,103397.0,150900.0,44609.0,46500.0,10275.5,1022229.0,117664.0,240000.0,286600.0
2016-01-01,115689.2,103308.0,84000.0,19106.0,38320.0,5170.0,61800.0,560000.0,736400.0,420000.0,38250.0,30517.3,958000.0,6210.0,8640.0,,37370.0,107950.0,151900.0,45759.1,46500.0,10401.3,1033010.0,123281.0,245700.0,292500.0
2017-01-01,118625.0,106858.0,84000.0,19106.0,39197.528,5170.0,63500.0,570000.0,751400.0,421700.0,38698.0,23974.0,965000.0,6210.0,8640.0,,38450.0,112724.0,153000.0,47087.0,47176.0,10606.0,1035000.0,125657.0,251000.0,298000.0
2018-01-01,122000.0,110318.0,84000.0,19106.0,40626.0,5170.0,65000.0,580000.0,765000.0,422100.0,39211.0,24370.0,972000.0,6210.0,8640.0,,39530.0,118079.0,154467.0,48346.0,47992.0,10764.0,1044450.0,126370.0,255000.0,303000.0
