year,Austria,Bulgaria,Cyprus,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Croatia,Ireland,Italy,Latvia,Lithuania,Malta,Netherlands,Norway,Czech Republic,Poland,Portugal,Romania,Slovenia,Slovakia,Spain,Sweden,Switzerland,United Kingdom,Belgium,Luxembourg
1961-01-01,3.262076079,2.199618575,0.707568707,4.58488641,,14.60484535,2.275066726,1.36209778,1.444575133,1.533792017,,,1.045113336,,,0.76833445,1.248840145,9.76158221,,2.179159666,1.215005398,2.347569188,,,1.277430995,12.83648112,1.349466512,1.027088995,0.893804453,2.540953551
1962-01-01,3.221605742,2.167812178,0.860127495,4.618844359,,14.27213718,2.390438877,1.439104845,1.389961449,1.585986463,,,1.048736572,,,0.768220119,1.254126262,9.661858311,,2.023318106,1.264286062,2.226524262,,,1.337574408,12.65005271,1.367945996,1.065676637,0.903019214,2.49111604
1963-01-01,3.232845575,2.1838818,0.864433736,4.577380446,,14.36145755,2.357192304,1.440924331,1.392721072,1.560374522,,,1.036979988,,,0.768781194,1.214055359,9.718123337,,2.102911495,1.275577982,2.258701751,,,1.360634528,12.55232857,1.293348216,1.053879952,0.882704255,2.496350077
1964-01-01,3.213392029,2.260440083,0.696305215,4.685087099,,14.18941862,2.343145869,1.425491853,1.492335951,1.587197385,,,1.044716394,,,0.758340464,1.226101527,9.692903487,,2.00082059,1.234979485,2.248304594,,,1.238797177,12.65285652,1.293393388,1.07078794,0.905649286,2.450080644
1965-01-01,3.105035348,2.317485679,1.048505945,4.663937315,,14.38471309,2.452796012,1.381958054,1.49474632,1.655785816,,,1.060144447,,,0.757488585,1.137980122,9.694299755,,2.107283131,1.263944148,2.376869626,,,1.260276168,12.5449232,1.24012587,1.104161536,0.861114369,2.326755787
1966-01-01,3.24061052,2.539347113,0.782524522,4.472847686,,14.26907069,2.345534294,1.367667469,1.536978771,1.674053876,,,1.040564058,,,0.730715785,1.10958268,9.6399201,,2.08466426,1.169890813,2.418050082,,,1.294753105,12.20557379,1.23446329,1.06823045,0.783982164,2.146251052
1967-01-01,3.303732652,2.476811318,0.997269905,4.554329421,,14.40393008,2.534250535,1.470204869,1.581220122,1.725346498,,5.050662676,1.078177929,,,0.736993713,1.147165883,9.682773773,,2.132090488,1.389736277,2.37678579,,,1.32516022,12.38182369,1.269248283,1.119103369,0.904066748,2.437102036
1968-01-01,3.282733982,2.225349792,0.813716432,4.625023298,,14.41119139,2.572529645,1.461430127,1.420668039,1.750522764,,5.080040386,1.04011656,,,0.730319089,1.097160328,9.735850983,,2.148514725,1.444626339,2.275354301,,,1.352034449,12.30387316,1.230793851,1.056392093,0.857633082,2.287418681
1969-01-01,3.291501743,2.360539826,0.972693214,4.64051846,,14.48341094,2.572757492,1.438550638,1.473247917,1.918452449,,5.019229239,1.073059198,,,0.735661975,1.09200401,9.637567785,,2.175639603,1.417199225,2.249989559,,,1.329936997,11.99132436,1.222478386,1.079892148,0.853241716,2.247099435
1970-01-01,3.213469521,2.44630664,0.763388121,4.455169014,,14.62724784,2.515369482,1.396052764,1.598243656,1.665428454,,4.949891391,1.071772047,,,0.72316267,1.059798023,9.688755145,,2.127277971,1.459171397,2.110604121,,,1.288749331,12.13938477,1.20438328,1.061876279,0.804426206,2.084118269
1971-01-01,3.237618137,2.42913437,1.022077036,4.55534147,,14.66941255,2.608697511,1.457943431,1.581408707,1.888596028,,4.955034567,1.065460561,,,0.731748826,1.072924955,9.662646585,,2.177664951,1.471306635,2.321810847,,,1.387467652,12.12225185,1.222337687,1.090339651,0.876256969,2.229658618
1972-01-01,3.183515752,2.566446429,0.909777847,4.54850919,,14.66167204,2.705516219,1.468377663,1.596862064,1.961534933,,4.817777285,1.013959125,,,0.739068889,1.035393467,9.655464588,,2.219345345,1.433934675,2.408810185,,,1.352423254,12.07196107,1.255692879,1.102744107,0.868282565,2.226772711
1973-01-01,3.259650415,2.413228521,0.448408072,4.358780928,,14.55942533,2.713453956,1.465670389,1.538598899,2.036453677,,4.664383798,1.012145932,,,0.728673967,1.026180172,9.681829087,,2.233126108,1.391745425,2.214279612,,,1.328038603,11.92304671,1.246522389,1.087792746,0.889623034,2.220605681
1974-01-01,3.296705532,2.320946305,0.85654054,4.523570269,,14.56770008,2.649620909,1.517209156,1.616020188,2.149018582,,4.644869237,1.024600035,,,0.723757112,1.024757004,9.699080515,,2.245503944,1.405095086,2.190451362,,,1.352678944,12.2195365,1.260236207,1.113788398,0.891645358,2.15645915
1975-01-01,3.245704595,2.447424257,0.616762393,4.299117981,,14.83631516,2.506481944,1.48883679,1.62925683,2.056183437,,4.585745813,1.038821063,,,0.732951846,0.986042236,9.515004136,,2.153601491,1.389886337,2.207190419,,,1.397760976,11.97573226,1.241586771,1.051996467,0.792351335,1.969245143
1976-01-01,3.310835591,2.499952922,0.648882467,4.025621107,,14.9344158,2.390556319,1.382343523,1.604880925,2.020678774,,4.419573987,0.997790539,,,0.736811652,0.967334439,9.469972251,,2.148560884,1.390102474,2.4264361,,,1.31572073,11.90002241,1.232189566,1.009826025,0.785960722,1.911546389
1977-01-01,3.291742145,2.394239119,0.619896789,4.470963615,,14.60156791,2.522423562,1.473521496,1.476998164,2.133825033,,4.625943949,0.960306532,,,0.732161238,0.967093342,9.553280519,,2.040306149,1.276737776,2.349738495,,,1.317192213,11.9142852,1.212037567,1.125891992,0.799471845,1.977875613
1978-01-01,3.334648177,2.375316175,0.618962164,4.378975596,,14.55262851,2.627126557,1.505641519,1.62590688,2.18121491,,4.478964284,1.012343417,,,0.723336059,0.996573486,9.510234809,,2.093776044,1.283221732,2.31896937,,,1.422036032,11.89992243,1.253238547,1.118119504,0.848963695,2.01002092
1979-01-01,3.244025204,2.438648888,0.591831213,4.558261242,,14.65641965,2.629852706,1.503982384,1.559489422,1.981584992,,4.509905236,1.01940316,,,0.731425008,0.980643961,9.545985418,,1.95068597,1.299363189,2.263210058,,,1.345194842,11.85309986,1.281475323,1.152230833,0.856236492,1.992096802
1980-01-01,3.390579861,2.361135822,0.621605895,4.360727639,,14.55712354,2.724270981,1.498085742,1.707576292,2.301334541,,4.488756746,1.039349091,,,0.741891277,0.979368462,9.49684012,,1.868675486,1.302998557,2.32493565,,,1.48341828,11.78149885,1.248300226,1.200967198,0.851081473,1.952453305
1981-01-01,3.300988299,2.50549306,0.631365312,4.480875344,,14.23302127,2.669980273,1.496628965,1.772855986,2.158627026,,4.449785729,1.064603672,,,0.736622243,0.982973282,9.472376708,,1.985029485,1.258145921,2.194210209,,,1.22520776,11.87280969,1.26482457,1.206967927,0.86838089,1.953031892
1982-01-01,3.434546647,2.66731316,0.604515407,4.682175671,,14.46601722,2.731218318,1.559789341,1.741433048,2.368341577,,4.46001358,1.009740893,,,0.740549949,1.004723941,9.445662489,,1.963966858,1.331467726,2.378175622,,,1.336860238,11.89082983,1.288723955,1.280529367,0.925013193,2.031943232
1983-01-01,3.393163865,2.366254556,0.565479964,4.217036229,,14.49346153,2.64798521,1.494955454,1.625759919,2.372937556,,4.315073738,1.091358639,,,0.734615863,0.960670808,9.339660262,,1.974529646,1.283855035,2.273802122,,,1.28160901,11.75654316,1.249468626,1.241148687,0.835485939,1.836678399
1984-01-01,3.424982025,2.559673739,0.633066018,5.080609603,,14.31493289,2.93065803,1.601585917,1.690291567,2.586346181,,4.4783734,1.058250169,,,0.717973804,0.993437423,9.411894913,,2.073893817,1.370273974,2.433321479,,,1.599705573,11.99703502,1.304276255,1.403756317,0.93782662,2.037037932
1985-01-01,3.438702995,2.075113992,0.670952908,4.88030451,,14.17910994,2.882015053,1.624289923,1.747519647,2.486809977,,4.294979426,1.084251691,,,0.714810323,0.969908384,9.3160763,,2.06543537,1.376367167,2.295981837,,,1.552431855,11.67252722,1.276616058,1.298578919,0.908279658,1.923893928
1986-01-01,3.333496298,2.449469231,0.590952808,4.882177243,,14.03876366,2.731286409,1.609096085,1.779254314,2.472278692,,4.192655061,1.097812763,,,0.697359354,0.98315702,9.162580045,,2.106321259,1.417380742,2.322578895,,,1.429632407,11.59625358,1.276399876,1.345645016,0.923439466,1.938990554
1987-01-01,3.355680667,2.344224926,0.650844306,4.631843714,,13.58812768,2.894227698,1.591464534,1.720816424,2.505246671,,4.27695083,1.159396133,,,0.692825367,0.96696269,9.19226518,,2.127220711,1.427136779,2.230788335,,,1.620629472,11.42456363,1.261898376,1.301684975,0.89975862,1.902194038
1988-01-01,3.450384997,2.415942213,0.737379665,4.819091955,,13.75008018,2.925428633,1.610139108,1.843689655,2.676595852,,4.243789858,1.094809724,,,0.680904228,0.953716815,9.067802033,,2.064127212,1.329862882,2.362056598,,,1.627605239,11.30269264,1.340572837,1.295236294,0.918557634,1.921111453
1989-01-01,3.365453441,2.644903437,0.701005981,5.031130876,,13.99980467,2.915201349,1.596726193,1.869730713,2.65368862,,4.178843163,1.105165314,,,0.683637585,0.968028871,9.070365544,,2.158475111,1.446661168,2.327571572,,,1.538163991,11.37913946,1.353447159,1.317393909,0.921408986,1.86554588
1990-01-01,3.398219237,2.465556635,0.619844517,5.161509616,,14.07556189,2.89175533,1.603262601,1.587594613,2.399099139,,4.186787949,1.047477019,,,0.685861382,0.985254617,9.127905552,,2.158072649,1.400960889,2.167668172,,,1.586381947,11.40301906,1.363729123,1.321469558,0.885419731,1.785507716
1991-01-01,3.376787529,2.536619205,0.467188361,5.08085165,,13.81789603,2.973115409,1.636121545,1.830793011,2.689504605,,4.206419522,1.15225733,,,0.674756863,0.956817125,9.058493879,,2.119481244,1.462470855,2.204321328,,,1.502180731,11.10625953,1.353624535,1.33521834,0.904399346,1.824760795
1992-01-01,3.275384177,2.308428613,0.691273894,4.357446708,8.006639994,13.70565949,2.924477836,1.555872237,1.761446657,2.057327259,2.443651598,4.241305891,1.120865929,5.609180979,2.870369065,0.678438258,0.976285278,8.943448449,,1.81512279,1.369653461,1.92815939,2.279424127,,1.415631277,10.90820912,1.348966482,1.338682752,0.921513365,1.805673079
1993-01-01,3.221809498,2.175004059,0.719921228,4.664363713,8.339416844,13.84606563,2.782019672,1.557869459,1.705587245,1.88430858,2.568836443,4.077210934,1.112598279,5.723031615,3.070143384,0.671502427,0.963725449,9.010964118,2.409417037,1.948181786,1.386086221,2.133228092,2.306995407,2.80438129,1.481052019,11.07873259,1.337342731,1.256113251,0.934623343,1.809835255
1994-01-01,3.282253312,2.375717186,0.592929019,4.616232788,8.304175143,13.87485731,2.807543268,1.595761511,1.814867117,2.240932841,2.535406725,4.103966568,1.109133622,5.677454326,2.918028739,0.677521372,0.95144021,8.89407794,2.495607993,1.868256598,1.393911032,2.226469502,2.383934786,2.988246534,1.391865324,10.89611856,1.315956067,1.279412507,0.936670623,1.805719752
1995-01-01,3.232662142,2.429966894,0.613615529,4.810637492,8.432457227,13.78982407,2.78386544,1.622246395,1.840434234,2.206056058,2.613069974,4.114104763,1.125646568,5.634124289,2.907251852,0.673115422,0.952072936,8.867044984,2.488136521,2.011576935,1.379147726,2.340656612,2.372016755,2.916633159,1.18781983,10.8452517,1.312085842,1.285476332,0.915892349,1.769285387
1996-01-01,3.167051879,1.935866424,0.565614734,4.760571637,8.628213567,13.86727057,2.945035212,1.632730416,1.6816958,2.174230204,2.598904944,4.203124598,1.082747418,5.840703915,3.210170276,0.667583149,0.96784202,8.854094065,2.473962695,1.958880508,1.382372528,2.066102928,2.359128022,2.868234433,1.635068078,10.9998165,1.342953683,1.358289609,0.978330109,1.839574364
